stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,lateral_line,mesenchyme,neural,olfactory,paraxial_mesoderm,spinal_cord,taste
  5-6,39.87,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.09,0,0,0,0,3.7,0,11.52,0,0
 10-12,0,0,0,0,0,0,0,14.55,0,4.05,0,0
 14-21,0,3.81,1.06,0,0,0,0,3.28,0,0,0,0
 24-34,0,0,1.08,0,1.35,0,0.91,0,0,0,0,0
 36-46,0,0.63,0,0,2.14,0,1.15,0,0,0,0,0
 48-58,0,0.41,0,0,0,0,0,1.03,0,0,0,0
 60-70,0,0.85,0,0,0,0,1.18,0,0,0,1.6,0
 72-82,0,0,0,0,0,0,8.95,0,0.74,0,0,0
 84-94,0,0,0,0,0,0,3.03,0.57,0.56,0,0,1.14
 96-106,0,0,0,0,0,1.11,0,20.32,2.53,0,0,0
108-118,0,0.46,0,0.47,0,0,0,0.73,0.52,0,0,0
120,0,0,0,0,0,0,1.36,0,0,0,0,0
