stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,14.56,403.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0
  5-6,0,168.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.92,0,14.05,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,9.89,0,0,4.19,0,0,0,0,0,0
 14-21,0,0,4.42,5.28,0,0,0,0,0,0,0,0,0,0,0,3.76,0,51.32,24.5,0,0,0,0,10.43,13.75,1487.65,4.11,0,1.8,0
 24-34,0,0,7.76,0,0,0,0,0,0,1.24,0,0,0,0,0,32.28,0,30.61,5.81,0,0,0,1.16,0,5.54,321.42,6.06,0,42.18,0
 36-46,0,0,0,0,0,3.4,0,0,0,2.67,0,0,0,0,0,34.54,3.56,9.06,4.62,0,0,0,0,0,4.81,3.67,1.09,0,29.7,0
 48-58,0,0,0,0,0,1.16,0.44,0,0,1.7,0,0,0,0,0.4,24.01,0.98,25.95,5.03,0,0,0,0,0,1.71,0.55,0,0.37,9.81,0
 60-70,0,0,0,10.02,2.61,0.63,0,2.49,0,14.97,0,0,0,0,0,24.16,3.44,29.47,21.88,0,0,3.26,0.67,1.38,0.62,0,0,3.59,12.25,0
 72-82,0,0,0,0,6.81,3.1,0,0.54,0,3.91,0,0,0,0,0,40.63,12.25,18.08,22.6,0,0,0,0,0,0,0,0.75,3.16,24.01,7.01
 84-94,0,0,2.38,0,3.77,0,1.27,0.72,0.81,2.54,0,0,0,0,0,38.71,8.92,22.32,15.35,0,0,3.04,0,0,0,0,6.96,1.63,18.91,9
 96-106,0,0,2.17,0,1.99,0,0,0,2.64,4.49,0,1.05,0,0,0,62.62,3.87,22.94,25.58,0,0,9.25,0,0,0,0,2.11,9.32,21.21,4.08
108-118,0,0,3.54,3.29,7.68,0.54,0,0.9,8.65,0.56,0,3.54,1.29,0.43,0,84.98,2.03,32.69,41.54,0.56,0,13.57,4.67,0,0.43,0,1.75,8.34,44.66,5.47
120,0,0,0,0,0,3.41,1.04,9.79,0,1.17,1.05,0,0,0,0,59.21,15.95,39.77,60.66,0,0,6.67,1.71,1.12,0,0,0,6.5,22.9,8.22
