stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.48,55.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,6.07,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.99,3.59,0,2.41,0,0,0,0,0,0.93,0,0,0,0,0,4.66,0,0,3.96,41.32,1.61,0,0.97,1.45,5.36,0,8.96,18.37,0,0.89,0,0
 24-34,0,0,0,0.6,13.83,0,0,7.96,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,8.77,136.44,0,0,1.39,3.55,0,0,2.31,21.91,0,8.14,0,1.18
 36-46,0,0,0,0,0,2.84,0,12.22,7.05,0,0,7.66,0,0,0,0,0,0,0,22.16,0,0,4.76,64.65,0.62,0,1.31,1.17,0,0,0,10.5,0,0.67,0,1.22
 48-58,0,0,0,0,0.66,0,0,20.52,0,0,0,11.45,0,0,0,0,0,0.38,0.78,13.61,0,0,2.78,63.61,0.43,0.5,3.72,0.48,0,0.93,0,20.41,0,1.44,0,0
 60-70,0,0,0.65,0,4.31,0,0,52.25,0.68,0,0,38.92,0,0,0,0,0,0,0,32.66,0,0,1.83,48.63,0,2.61,8.01,2.95,0,0,0,26.41,0,1.93,0,0
 72-82,0,0,0,0,9.27,7.01,0,34.85,4.55,1.99,2.85,27.97,1.34,0,0,0,4.27,1.53,0,42.33,0.77,2.15,1.13,45.74,0,2.61,11.85,3.93,0,0,0,8.2,0.87,4.07,0,0
 84-94,0,0,0,0,5.11,27.98,0,38.75,0,0,0,6.44,0,0,0.91,0,0,0,2.79,7.66,0,0,0,54.19,0,0,0.88,13.87,0,0,0,4.8,0,0,0,0
 96-106,0,0,0.89,0,2.74,11.52,0,30.1,0,0,0,30.39,2.67,0,0,1.86,0,1.13,1.15,13.76,0,3.77,2.48,24.85,0.77,0,4.02,2.85,0,0.84,0,2.12,1.48,0,0,0
108-118,0,0,0,0,12.94,6.53,1.75,30.92,0.64,1.26,0,23.83,0.5,0,0,0,1.59,0,1.84,26.07,1.71,1,1.88,49.69,0,0,6.75,3.19,0,0,0,0,0,2.51,0.7,2.24
120,0,0,0,0,5.88,5.34,0,1.08,0,0,0,6,0,6.41,1.07,0,0,0,7.99,26.64,0,0,2.33,51.43,0,0,0,1.14,0,0,0,0,0,0,0,0
