stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,48.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5,0,0,0,0,2.79,0,0,0,74.33,0,50.24,0,0,0,1.18,0,0,0,1.13,0,0,0,0
 24-34,0,2.39,5.03,20.82,3.39,0,5.54,0,0,0,110.8,0,105.33,5.11,0,0,0,0,0,0,2.7,0,0,2.68,0
 36-46,0,22.17,1.41,129.95,78.93,0,5.65,0,0,5.5,71.51,0,34.66,6.5,0,0.66,0,0,0,0,0,0.77,0,0,0
 48-58,0,4.47,2.64,241.13,191.18,0.66,0.65,0,0.76,0,41.42,0.82,23.04,15.34,0,11.65,0,0,0,0,0,3.47,0,0,0
 60-70,0,3.52,3.44,191.15,215.84,9.39,0,0,0,0,46.79,0,3.64,40.96,0,17.31,0,0,0,0,0,2.35,2.05,0,3.63
 72-82,0,2.58,8.63,135.28,323.37,6.71,0,0,0,0,105.63,2.18,11.27,32.43,7.24,11.69,0,2.81,1.7,0,0,2.77,1.77,0,0.56
 84-94,0,7.56,9.85,184.87,113.22,10.22,0,0.67,0,0,76.59,2.72,2.31,23.26,0,19.1,0,0,1.32,0,0,2.76,5.77,0,4.99
 96-106,0,5.35,9.96,56.93,84.59,3.14,0,0,0,0,70.9,5.63,5.03,6.96,0,2.79,0,0,0,0.68,0,0,0,0,3.9
108-118,0,4.94,17.01,89.81,94.2,2.26,0,0.98,7.45,0,125.06,5.77,1.95,28.03,0,0.5,0,3.84,0,0,0,1.03,2.03,1.05,3.86
120,0,34.24,4.98,24.51,191.19,0,0,1,0,0,252.4,0,4.93,22.19,0,4.91,0,7.72,0,0,0,12.11,0,0,3.15
