stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,242.85,4697.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.24,0,0,0,0,0,0,0,0,0,0
  5-6,444.37,5319.54,0,17.23,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,217.78,26.81,0,0,53.09,0,118.47,0,0,0,0,0,0,0,0,0,0
  7-9,106.14,46.05,0,264.93,0,0,173.64,0,0,0,0,0,82.87,0,0,0,0,0,0,0,0,0,0,0,1940.67,136.21,0,0,606.31,0,8.05,15.41,0,0,0,0,0,0,0,0,0
 10-12,0,47.01,0,123.29,0,14.23,157.25,0,0,0,0,0,10.76,0,0,0,0,0,0,0,0,0,0,0,1214.89,98.27,0,0,513.14,0,0,5.85,0,52.07,9.11,3.51,0,0,0,0,0
 14-21,0,0,1.09,1.81,30.43,7.19,4.78,0,2.32,0,8.52,5.02,0,0.84,0,0,0,0,0,0,13.69,0,0,10.5,198.89,6.11,0.93,2.92,2.68,0,10.85,0,14.36,1.99,8.58,76.99,0,0,9.72,0,0
 24-34,0,0,0,0.74,8.61,0,25.91,0,2.12,1.85,9.07,1.82,0,0,0,0.62,0,0,0,0,24.06,0,0,5.79,567.61,3.19,0.78,0.69,0,0.99,14.72,0,0,0,1.93,156.44,0,0,28.03,0,0.79
 36-46,0,0,0,0,9.7,0,103.92,0,0,0,22.85,0,0,0,0,0,19.01,3.58,13.55,6.61,54.91,3.03,0.56,8.07,966.41,1.99,5.89,6.73,0,0,19.88,0,0,15.65,0,209.1,0,0,30.83,0,0.67
 48-58,0,0,0.55,0,1.46,0.84,175.13,0,0,3.2,45.31,0,1.05,1.15,0.81,0,0,0.38,0,0,43.37,1.16,1.6,5.85,871.89,1.61,1.98,6.44,0,0,12.9,0,0,0,0,140.44,0,0,38.29,0.5,6.68
 60-70,0,0,1.68,0,6.93,0.61,484.44,0,1.51,1.04,46.07,5.21,3.95,1.64,5.43,1.82,0,1.2,2.11,0,69.02,0,3.04,6.25,779.75,0,1.19,0,0,0,27.42,0,0,0,0,122.36,0.61,4.7,24.12,0.87,13.54
 72-82,0,0,2.95,0,5.96,18.95,273.76,0.76,0,6.74,44.11,5.17,0,3.31,2.21,1.93,2.79,0.64,1.17,0,85.72,1.31,0.65,4.15,543.35,0,2.38,1.06,0,0,11.6,0,0,1.23,0,55.31,2.09,0.73,26.56,0.72,3.09
 84-94,0,0,3.04,0,15.85,11.64,180.98,0,2.79,0,25.07,1.44,1.23,1.27,2.5,3.04,3.2,0.81,0.58,0,54.75,0,10.59,2.31,389.86,0,0,2.56,0,0,16.54,0,0,1.2,0,34.42,1.99,0,19.28,2.71,0.82
 96-106,0,0,0,0,9.05,16.59,140.06,0,1.9,1.87,21.25,6.52,0,1.45,2.71,0.59,1.5,6.4,4.97,0,63.2,5.68,0,3.97,229.61,0,7.37,2.35,0,1.94,7.83,0,0,0,0,19.7,3.6,2.52,28.7,3.99,0
108-118,0,0,4.41,0,13.02,3.64,123.36,0,1.29,2.36,49.92,13.57,0,6,3.31,0.45,2.44,1.28,5.37,4.61,79.44,0.77,8.39,3.72,213.28,0,1.38,5.22,0,0,18.94,0,0,0,0,11.15,7.29,0,7.36,2.01,1.31
120,0,0,0,0,11.29,2.29,112.84,0,1.05,0,49.76,2.28,0,0,2.51,0,0,6.94,0,0,54.42,1.15,0,2.35,252.1,0,13.27,5.02,0,9.36,9.91,0,0,0,0,2.78,6.04,0,21.31,0,0
