stage,epidermis,fin.epithelia,mesenchyme,neural,otic,somites
 14-21,0,0,0,0,0,1.51
 24-34,0.6,0,0,1.88,0,0
 48-58,0,0.75,0,0,0,0
108-118,0.53,0,2.48,0,0,0
120,0,0,0,0,3.67,0
