stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,31.61,148.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,300.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,14.64,0,0,0,0,0,0
  7-9,0,0,4.49,0,0,0,5.91,0,0,0,0,7.12,0,0,0,0,0,58.54,0,0,13.66,0,0,0,0,0,0,0,0
 10-12,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.64,0,0,13,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,7.05,1.73,0,0,0,0,0,0.86,2.8,0,0,0
 24-34,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,3.4,0,0,7.9,0,0,0,0,0.85,0,0,8.43,0,0,0
 36-46,0,0,0,0,0,0,1.82,1.24,0,1.87,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0.65,0
 48-58,0,0,0,0,0,0,7.36,2.94,0,6.21,0,0,0,0,2.93,0,0,1.41,0,0,0,0,0,0,0,1.27,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.33,0,3.03,4.69,0,0,0,0,0,0,0,1.85,0,0,0
 72-82,0,0,0,0,0,0,1.23,0,0,2.81,0,0,0,0,19.97,0,3.69,6.41,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,6.75,2.61,0,0,0.68,0,0,0,199.04,5.45,3.49,5.85,0,0.71,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.93,5.55,0,8.44,0,0,3.99,1.15,0,0.58,0,213.05,0,6.9,23.83,0,0,0,6.23,6.62,0,0,8.56,0,1.07,2.04
108-118,0,0,0,2.42,1.64,0.43,20.16,0.43,0,7.01,0,0,0,1.02,901.65,0,6.23,44.2,0,0.8,0,0,0.49,0,0,0,0.89,0,0.54
120,0,0,0,0,0,0,3.04,0,14.81,1.75,2,0,0,0,400.38,0,1.75,20.36,0,0,0,0,0,0,0,0,0,0,0
