stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,248.87,3394.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.28,0,0,0,0,0,0,0,0,0,0
  5-6,152.58,1780.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.09,0,0,0,6.91,0,16.49,0,0,0,0,0,0,0,0,0,0
  7-9,3.45,5.39,8.17,0,0,32.37,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,265.83,5.52,0,0,48.75,0,7.16,8.09,0,0,0,0,0,0,0,0,0
 10-12,0,18.49,33.3,0,4.69,46.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.02,45.44,0,0,201.24,0,0,0,0,23.94,0,6.79,0,0,0,0,0
 14-21,0,0,7.41,55.69,17.62,13.76,0,0,5.39,3.5,0.94,4.88,0,0.81,0,0,0,0,21.98,0,0,41.32,216.27,9.13,0,5.17,5.71,0,18.83,0,51.18,1.01,36.06,71.62,0,0,8.68,0,0
 24-34,0,0.83,2.36,32.04,1.21,15.18,2.22,0,10.7,0.71,0,8.01,0,1.78,0.85,0.66,0,0.92,90.08,0.87,0,38.26,289.94,6.84,0,11,0,0,60,0,0,3.95,9.84,94.7,0,0,45.52,0,13.03
 36-46,0,0,0,15.29,10.55,25.95,5.89,4.42,35.4,0.67,0,3,0,4.24,0,5.65,2.17,0,122.18,0,0,30.03,208.73,2.7,0,17.87,0,0,91.92,0.74,0.9,5.75,0,94.64,0,0,29.37,0,9.65
 48-58,0,0,0,6.77,0,25.13,2.96,4.69,30.99,0,0,4.25,1.68,0.39,0,0.38,0,0.38,124.42,0.41,1.42,21.25,77.42,0.99,0,3.8,0,0,52.95,0,0,0.57,0,42.25,0,0,16.96,0,21.39
 60-70,0,0,0,7.75,0,52.35,0,8.9,40.98,1.68,0,2.48,5.02,0.6,2.66,3.56,0,0,170.35,0.62,6.45,31.62,51.55,4.39,1.22,7.8,0,0,72.19,0,0,0,0,7.4,0,1.68,17.96,0.64,16.15
 72-82,0,0,0.75,18.26,0,79.66,2.27,10.61,56.9,1.65,0,0,3.94,1.19,0,1.44,0,0,243.62,3.59,5.86,14.8,52.53,0.5,1.18,12.35,0,0,55.77,0,0,8.03,0,4.12,2.31,1.55,28.62,1.89,28.22
 84-94,0,0,0,20.74,2.19,82.56,5.79,7.02,27.04,0.61,0,0.73,10.6,4.77,0.79,8.43,1.81,0,212.99,0,5.33,7.25,26.03,1.71,3.93,26.14,0,0,129.55,0,0,1.26,0,4.17,3.4,3.68,32.09,5.59,4.16
 96-106,0,0,0,21.22,0,53.78,2.42,4.15,35.2,2.37,0,4.74,5.93,2.3,1.14,13.42,0,0,164.17,3.81,3.59,11.49,48.88,2.89,2.06,28.76,0,0.87,135.12,0,0,1.23,0,7.73,0,0,33.75,2.49,18.69
108-118,0,0,0,35.16,0.48,57.83,6.45,11.26,41.9,1.71,0,0.8,9.13,7.88,7.42,6.72,0,0,207.43,0.91,6.25,8.96,79.25,1.66,0.45,23.98,0,9.24,102.31,0,0,2.92,0,4.95,0,8.72,41.12,1.44,11.9
120,0,0,0,36.48,0,76.21,5.57,9.46,45.99,0,0,0,9.96,0,2.83,7.83,0,0,204.82,1.47,0,3.63,55.25,2.57,2.97,67.48,0,0,124.24,0,0,0,0,0,3.68,0,45.1,15.61,8.49
