stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,34.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.13,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,5.93,0,0,8.87,0,0,0,0,0,0,0,0
 14-21,0,1.69,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0.88,10,0,0,1.09,0,0,0.81,0,0.85,1.76,0,0,0
 24-34,0,0,1.89,0,0.61,0,0,0,0,0,0,0.74,0,0,0,0.74,0.65,0,0,0,37.51,2.83,0,0,0,1.52,0,0.78,0,2.61,1.66,0,1.93
 36-46,0,0,0.75,0,9.01,0,0,0,0,0,0.94,0,0,0,0,0.58,3.48,0,0,0,34.65,1.86,10.06,0,0,2.45,0,0,0,5.64,4.68,0.78,1.69
 48-58,0,0,3.05,0,11.55,0,1.97,0.41,0,0,0,0,0,0,0.99,0,3.87,0,0,3.48,24.13,0,0,0,0,11.09,0,0,0,6.26,0,0,0.85
 60-70,0,0,0,0,18.44,0,0.59,3.22,0,0,0,0,0,0,0,0,1.67,0,0,1.33,41.23,0,0,0,0,0,0,0,0,5.14,4.12,0,1.56
 72-82,0,0,0.59,0,19.03,0,0.7,4.5,0,0,0.72,0,1.38,0,0,0,1.03,0,0,1.53,66.46,0,1.58,0.88,0,0,0,0,0,2.36,0,0.71,2.08
 84-94,0,0,2.09,0.66,39.99,0,0,0.95,0,0,0,0.82,0.61,0,4.97,0,7.22,0,0.72,0.59,38.3,0,0,0,0,0.61,0,0,0,5.36,0,0,0
 96-106,0,0,2.49,0,26.31,0,0,0.6,0,0,0,0,0.66,1.63,0,0,2.98,0,0,1.95,24.56,0,0,0,0,1.28,0,0,0,1.43,0.6,0,0
108-118,0,0,0,0,22.35,0.7,0,4.61,0,0,1.29,0,1.32,0,0,0,3.22,0.49,0,0.6,56.47,0,0,0,0,2.54,0,0,0,3.73,3.19,0,0
120,0,0,0,0,1.6,0,0,0,3.92,0,0,0,0,0,0,0,6.17,0,13.74,0,23.66,0,1.09,0,0,0,0,1.64,0,0,19.6,0,0
