stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,liver,mesenchyme,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  5-6,8.25,16.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,33.13,0,10.58,0,0,0,0
 10-12,0,0,0,0,11.33,0,0,0,0,3.51,0,0,0,8.2,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0
 36-46,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.87,0,0,0,1.78,0,0,0,0,0,0
 60-70,0,0,0,0,0,28.18,0,0,0,0,0.57,0,0,0,0,0
 72-82,0,0,0,0,1.79,226.92,0,0.64,3.18,8.58,0,0,0,0,0,0
 84-94,0,0,1.22,0,0.95,189.5,0,0,1.19,22.97,0,0,2.7,0,0,0
 96-106,0,0,2.71,0,7.28,433.15,0.6,7.69,2.73,18.01,0.57,0,1.52,0,1.95,0
108-118,0,0,1.24,0,3.33,441.64,0,0.68,1.74,29.37,0,0,1.1,0,0,1.01
120,0,0,0,0,3.49,535.99,0,0,0,17.95,0,0,0,0,0,0
