stage,epidermis,erythrocytes,eye,glial,lateral.line,mesenchyme,neural,otic,spinal.cord
 14-21,0.86,0,0,0,0,0,0,0,0
 24-34,0,0,0.6,0,0,1.08,0,1.71,0.73
 36-46,1.3,0,0,0,0,0,1.03,0,0
 48-58,0,0,0,0.72,0,0,0,0,0
 72-82,0,0,1.13,0,0,0,1.03,0,0
 96-106,0,0,0,0.9,0,0,0,0,0
108-118,0,0.75,0,0,0,0.54,0,1.33,0
120,0,3.56,0,0,1.77,0,0,0,0
