stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites
  3-4,32.09,101.01,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0
  5-6,9.47,297.38,0,0,0,0,0,0,0,0,8.03,0,13.83,7.49,0,0,0
  7-9,4.08,10.36,8.17,0,0,8.41,0,10.96,0,0,186.99,0,24.9,0,0,0,0
 10-12,0,0,4.92,0,5.32,13.13,0,0,0,0,60.95,0,30.06,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.86,0,2.56,0,0,0,0.81,0.8,0.82
 24-34,0,0,0,0,0,0,0,0,0,0,3.92,0.69,0,1.06,0,0,0
 36-46,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.67,0.97,0,0,0,1.4,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.8,0.71,0,1.22,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0
