stage,blastomeres,erythrocytes,eye,heart,mesenchyme,neural,olfactory,paraxial_mesoderm,presomitic_mesoderm,spinal_cord
  5-6,20.84,0,0,0,0,13.03,0,0,0,0
  7-9,0,0,0,0,0,9.43,0,5.89,0,0
 10-12,0,0,0,0,0,5.3,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.99,0
 24-34,0,0,0,0,0,11.48,0,0,0,5.44
 36-46,0,0,0,0,0,0.82,0,0,0,0
 48-58,0,0,0,0.58,0,0.62,0,0,0,0
 60-70,0,0.61,1.31,0,0,1.04,0,0,0,1.73
 72-82,0,0,9.83,0,0,0.6,0,0,0,0
 84-94,0,0,7.17,0,0,0.58,0,0,0,0
 96-106,0,0,4.38,0,0.73,18,0,0,0,0
108-118,0,0,0.98,0,0,0,2.89,0,0,0
