stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mural.cell,neural,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0
 14-21,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0.89,10.58,0.77,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.89,0,0,1.09,0,0,2.21,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.7,0,18.74,0,0,0,0,3.44,0,0,0,0
 60-70,0,0,3.29,5.52,0,0,0.74,0,0,0.76,6.58,0.85,0,3.33,0,2.47,4.18,0,0,0
 72-82,1.88,0,27.1,0.67,0.5,0,6.46,0,0,0,13.69,0,0,0.73,0,9.74,0,0,4.31,0
 84-94,2.56,0.62,34.13,0,0.64,0,0.57,0,0,0,19.54,0,0.57,0,0,9.56,0.65,1.07,2.57,1.06
 96-106,0,1.69,35.39,1.86,0,1.49,1.4,0,0,0,15.07,0.71,2.65,2.77,0,2.25,0,2.95,4.62,3.05
108-118,0,0.45,19.37,3.47,0.52,0,4.02,0,0,0,17.41,0,2.38,7.08,0,2.56,0,0,5.01,0.54
120,0,0,14.8,0,0,0,27.52,1.09,0,5.1,26.95,0,0,1.23,0,16.92,1.41,0,19.45,0
