stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,50.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.63,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.6,22.01,5.94,13.24,0,0,0,13.94,0,0,1.13,0,0,0,0.93,7.96,0,0,9.61,185.36,5.26,1.02,2.44,2.76,0,1.45,18.54,0.89,15.77,72.32,0,0,1.2,0,0
 24-34,0,0.6,1.88,5.01,0,39.91,0,0,0,9.42,0.67,0,0,0,0,0,0.74,44.09,1.45,0,12.69,477.57,2.74,2.8,4.79,0,0,12.1,0,0,4.31,140.05,0,0,12.06,0,2.6
 36-46,0,0,0.56,8.28,0,53.86,0,0.74,0.89,24.4,0,0,0,0,5.76,0,1.27,52.08,4.32,0.68,25.15,350.1,0,0,3.13,0,0,3.9,0,0,0,114.88,0,0,2.07,0,0
 48-58,0,0,0,5.65,0,90.78,0,1.96,0,17.21,0,0,0,0,0.48,3.43,0.99,40.26,0,1.25,5.97,218.72,3.49,0,1.05,0,0,9.5,0,0,0,48.59,0,0,0,0,0.48
 60-70,0,0,0,0,0,161.24,0,1.24,1.35,22.42,0,0,0,0,0,2.76,0.66,54.72,0,3.74,11.22,187.37,0,0.84,0.65,0,1.22,2.4,0,0,0,47.67,0,0,4.3,0,0.69
 72-82,0,0,0,6.41,1.96,82.7,0,0.55,1,17.97,0,0,0,1.5,0,0,0,63.28,0,0.71,2.95,164.05,0,0,0,0,0,3.19,0,0.49,0,31.9,0,2.56,7.62,0,0
 84-94,0,0,0,7.32,0,85.61,1.34,4.6,1.34,13.42,2.28,0,0,2.75,1.95,0,0,38.1,0.92,4.54,3.73,146.71,0,0,11.76,0,0,3.13,0,0,0,7.31,0,0,4.71,0,0
 96-106,0,0,0,6.79,0,41.86,0,0,0,25.87,0,0,0.76,0,1.14,0,0.66,29.68,0,0,1.67,119.97,0,0,0,0,1.03,0,0,0,0,2.89,0.83,0,1.98,1.27,0
108-118,0,0,0,10.33,0,56.84,0,0,0.94,22.9,3.8,0,0,1.67,1.93,0,0,64.73,0.54,0,8.31,156.46,0,2.94,7.45,0,1.58,7.7,0,0.59,0,14.33,0.56,0.67,5.04,2.74,0
120,0,0,0,1.45,0,39.85,0,0,0,21.91,0,0,0,6.46,0,0,0,41.68,0,0,26.53,191.95,0,1.77,0,0,0,2.73,0,0,0,23.08,0,0,15.68,0,0
