stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0.82,0,0,0,0,0,0,0.87,0,1.02,2.12,0,0,1.39,0,0,5.16,2.49,4.59,0,0,0,0
 24-34,0,0.6,4.01,2.42,0.94,0,0,0,0,0,2.45,0,0,3.25,0,0.62,0,0,1.45,0,1.26,2.92,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83,0,0,0,0,4.16,0,0,0,0,0,0,0
 48-58,0,0,0.43,3.27,0.41,0,1.83,0,0,0,0,0,0,0.85,0,0,0,0,1,0,0,1.87,0,0,0,0
 60-70,0,0,0,3.25,2.86,0,0,0,0,0,0.69,0,0,7.84,0,0,0,0,1.27,0,0,0,0,0,0,0
 72-82,0,0,0.88,0,0,0,0,0,0,0,1.01,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.96,0,0,0,0,0.67,1.18,5.35,0,0,0,1.64,0,0,0,1.1,0,0,0,0,0,0,0
 96-106,0,0,3.65,1.47,1.08,0.75,2.23,0,0.84,0,9.25,0,0,0,0,0,0,0,0.56,0,0,0,0,1.53,3.01,0
108-118,0,0,1.15,0,0,0.48,0,0.82,0,0.65,3.85,0,0.65,0,0.43,0,0,0,0.43,0,0,0,2.65,0.55,0,1.03
120,0,0,0,11.27,0,1.09,0,0,0,0,0,6.27,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0
