stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,37.2,0,0,0,0,0,0,0,0,0,0,0,0,345.65,0,0,0,0,0,0,0,0,0,0,0,39.74,0,0,8.15,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,44.75,0,0,0,41.75,0,0,0,0,0,297.33,0,0,0,0,0,0,0,0,0,0,86.43,33.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,33.09,1.19,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0.83,8.31,0,0,0,0,0
 24-34,0,0,0,0,284.7,1.36,0,4.26,0,22.87,0.99,0.84,0,0,1.71,0.6,14.94,49.69,0,6.93,13.78,24.62,0,18.99,5265.94,1.04,7.34,0.65,0,0,215.43,0,0,0,0,16.02,0,0,0.71,0,0
 36-46,0,0,0,0,189.08,0,0,7.97,1.3,35.16,0,3.79,0,0,0,0,15.71,14.61,0,0,16,13.24,0,17.22,13652.65,0,27.05,0.63,0,0,282.71,0,0,0,0,18.01,0,0,1.37,0,0
 48-58,0,0,0,0,330.61,4.19,0,15.43,0,34.65,2.71,3.34,0,6.83,0,0,48.95,4.58,1.88,1.12,10.17,14.03,0.71,3.59,6523.73,0,11.82,0.39,0,0,211.01,0,0,2.12,0,18.54,0,0,2.1,0,0
 60-70,0,0,0,0,207.94,0.58,0,49.54,0,10.52,0,1.05,3.62,11.29,0,25.63,27.15,11.17,0,0,16.85,7.51,0.79,3.86,3527.1,0,3.94,0,0,0,162.91,0,0,0,0,0.66,0.74,0,0,0,0
 72-82,0,0,0,0,259.74,2.79,0,111.11,0,21.46,1.16,13.22,0,0,0,5.05,6.76,10.45,38.36,0,47.3,0,1.7,2.96,4302.83,0,8.96,3.33,0,0,49.92,4.96,0,0,0,0,0,1.99,3.37,1.65,8.58
 84-94,0,0,18.81,0,329.65,0,0,56.79,0,56.97,0,7.78,4.1,0,0,0,31.71,40.61,0,0,15.35,0,7.02,0.69,6290.17,0,9.39,0,0,0,280.64,0,0,0,0,5.7,7.49,0.63,0.8,0,0
 96-106,0,0,10.54,0,576.43,17.26,5.7,51.77,0,30.63,7.87,11.79,18.87,0,0.68,1.3,22.27,22.56,241.3,0,53.21,18.99,1.89,0,3710.36,0,15.06,1.13,0,2.22,433.57,52.24,0,0,0,0,6.47,0,0,2.16,0
108-118,0,0,3.86,0,303.44,1.32,0,69.2,0,71.07,0,19.73,3.19,2.74,0,3.16,14.65,12.73,4.51,0,70.23,18.51,2.26,0.92,2873.03,0,10.11,1.01,0,3.97,564.79,0,5.63,0,0,3.65,82.22,0,40.29,0,1.2
120,0,0,0,0,628.98,1.98,0,48.71,0,25.54,2.59,28.6,5.6,0,0,0,0,29.95,0,0,85.17,0,0,9.91,2606.91,0,10.48,4.64,0,6.55,151.15,0,0,0,0,0,0,0,18.73,0,0
