stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,286.44,3584.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.58,0,0,0,0,0,0,0,0,0,0
  5-6,98.05,2536.96,0,0,0,0,0,0,0,0,0,0,63.77,0,0,0,0,0,0,0,0,78.85,6.07,0,18.72,60.41,0,0,0,0,0,0,0,0,0,0
  7-9,66.54,32.5,117.51,0,0,0,156.61,0,0,0,0,0,206.03,0,0,0,0,0,0,0,0,1493.73,66.48,0,459.32,13.62,38.96,0,0,0,0,0,0,0,0,0
 10-12,0,64.9,126.33,0,0,0,147.53,0,0,0,0,0,98,0,0,0,0,0,0,0,0,1860.54,159.41,0,601.47,0,51.56,10.01,113.66,0,22.08,0,0,0,0,0
 14-21,0,0,1.05,11.84,0.86,0,1.74,0,0,0,0,0,0,0,0,0,0,0,4.05,0,1.05,22.49,0.83,0,1.37,0,0,2.04,0,0,5.61,12.45,0,0,0,0
 24-34,0,0,0,8.84,0,0,4.23,0,1.04,1.21,0.64,0,0,0,0,0,0,0,4.38,0,1.96,48.22,0.71,1.27,0,1.78,0,0,0,0.78,0,9.48,0,0,0,0
 36-46,0,0,0,10.94,0,0,7.05,0,0,0,1.21,0,0,0.71,0,0,0,0,10.66,0,0.88,36.45,0,0,0,0.58,0,0,0,0,0,20.07,0,0,0,3.09
 48-58,0,0,0,11.74,0,0,5.36,0,2.3,0.55,2.25,0,0.37,0,3.23,0,0,0,5,0,1.23,14.86,0,0,0,2.24,0,0,0,0,0,1.94,0,0,0,0
 60-70,0,0,0,1.76,0.7,0,1.19,0,2.55,0,2.18,0,0,0,0,0,0,0,0.93,0,0.6,2.62,0,0,0,2.52,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.21,0.87,0,0,0,0.55,0,1.05,0,0,0,0,0,0,4.54,1.94,0.55,0,9.67,0,0,0,1.27,0,0,0,0,0,0,0.53,0.56,0,0
 84-94,0,0,0,9.08,0,0,4.38,0,4.68,0,0,0,0,0,0,0,0,0,0.81,0,0,3.56,0,1.25,0,6.19,0,0,0,0,0,0,0,0,1.34,0
 96-106,0,0,0,6.43,2.85,0,4.23,0,2.57,0,7.97,0.7,0,0,0,0,2.09,3.35,0,0,1.69,12.85,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,8.3,1.46,0.61,3.56,0.64,3.21,0,2.02,0,0,0,0,0.42,0,0,4.79,0,0.89,19.08,0,0,0,8.65,0,0,0,0,0,0,0,0,0,0
120,0,0,0,10.76,1.96,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,1.53,14.55,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0
