stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,hatching_gland,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,xanthophores
  3-4,0,20.51,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.21,5.33,0,0,19.35,0,6.13,0,0,18.98,3.34,20.98,0,0
 10-12,0,0,0,0,10.63,0,0,0,0,5.81,7.77,12.23,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,7.18,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.37,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,9.08,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.55,0,22.85,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,2.4,40.39,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,7.39,92.48,0,0,0
 84-94,0.62,0,0,0,2.8,0,0,0,0,0.95,169.51,0,3.6,0
 96-106,3.37,0,0,0,5.4,0,0,0.85,1.92,0,195.75,0,4.09,0
108-118,0,0,0,1.74,0,0.69,0,0,2.5,5.05,268.48,0,0,2.59
120,0,0,11.04,0,3.1,0,0,0,3.12,3.95,316.93,0,0,0
