stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,taste,vasculature,xanthophores
  3-4,83.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.15,0,0,0,0,0
  5-6,58.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924.09,0,0,0,0,0
  7-9,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,133.94,8.87,0,0,35.35,122.41,0,0,0,0,0
 10-12,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.74,0,0,0,34.82,29.85,11.24,0,0,0,0
 14-21,0,0,0,3.83,0,0,0,0,0,35.55,0,0,0,1.05,0,4.71,0,0,0,0,27.76,0,0,0,0,0
 24-34,0,0,0,11.65,0,0,0,0,0,87.76,0,0,0,0,0.63,14.88,0,0,0.76,0,0.95,0,2.92,0,11.79,0
 36-46,0,0,0,0,0,0,0,0,0,64.22,0,0,0,0,0,57.6,0,3.74,0,0,1.1,0,1.68,0,9.55,0
 48-58,0,0,0.7,0,9,0,0,0.49,0,72.34,0,0,0,1.55,0,71.05,0,1.41,0,0,0,0,8.43,0,26.08,0
 60-70,0,0,5.32,5.68,4.87,0,0,0,0,85.28,0,0,0,0.92,0,109.14,0,0,0,0,0,0,11.65,0,37.36,0
 72-82,0,0.78,0,6.09,41.03,0,0,1.14,0.85,99.09,0,0,0,7.97,0,114.82,0,0,0,0,0.95,0,7.25,0.71,30.69,0.99
 84-94,0,0,0.86,0.74,19.78,0,0,0,0.73,170.63,0,0,0,3.75,0,65.06,0,0,1.9,0,0,0,2.34,0,29.42,0
 96-106,0,0,2.14,1.56,15.54,0.78,0,5.72,0,186.05,1.28,0,0.87,3.67,2.02,100.93,0,0,0,0,2.53,0,3.21,0,36.14,0
108-118,0,0,0,0,12.03,0,0.99,3.53,2.18,188.42,0.91,1.15,0,9.79,0,88.74,0,0,2.73,0,0,0,2.85,0,30.95,0
120,0,0,3.42,6.06,39.54,0,0,4.04,0,237.05,0,0,0,0,1.02,219.36,0,0,0,0,0,0,10.34,0,41,0
