stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,ionocyte,mesenchyme,mucous,neural,otic,periderm,spinal_cord
  3-4,18.99,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.44,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.75,0,0.74,0
 36-46,0,0,0,0,0,0,0,0,0.9,0,1.19,0
 48-58,0,0,0,0.78,0.46,0,0,0,3.35,0,10.17,0.55
 60-70,0,0,0,0,0,0,0,1.43,0.96,0,10.3,0
 72-82,0,0,0.54,0,2.01,0,0,0,2.99,0.56,8.85,0
 84-94,0,0,0,0.72,0.72,0,0,0,0,0,22.52,2.39
 96-106,0,0,0,0,0,0,0,2.53,6.07,0,25.63,0
108-118,0,0,1.13,0,0,0.54,0.46,0,1.98,0,20.07,0
120,0,0,8.07,0,0,0,0,3.49,0,0,8.72,0
