stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,257.76,7069.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.84,0,0,0,0,0,0,0,0,0,0,0
  5-6,482.38,6029.26,0,12.33,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,204.78,18.98,0,0,71.57,55.29,0,0,0,0,0,0,0,0,0,0,0
  7-9,85.26,103.19,0,115.06,0,0,327.07,0,0,0,0,52.05,0,0,0,0,0,0,0,0,0,0,2943.12,98.02,0,0,957.83,0,62.36,0,0,0,0,0,0,0,0,0,0
 10-12,0,48.95,0,70.6,0,0,195.97,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,1948.42,51.44,0,0,489.53,0,35.13,9.31,46.55,0,3.24,4.54,0,0,0,0,0
 14-21,0,0,0,26.32,100.19,16.1,30.94,0,0,8.64,9.51,0,0,0,3.26,0,0,0,28.43,0,0,31.2,533.64,17.67,3.93,11.25,19.39,0,6.1,38.37,6.92,11.72,88.43,198.74,0,0,2.67,0,0
 24-34,0.88,0,1.26,5.72,26.89,4.43,24.12,2.72,0.69,11.95,0.61,0,3.54,2.32,0.61,0,2.93,0.86,35.05,1.5,0,30.1,696.81,1.5,5.86,21.01,0,0,0,1.1,1.19,0,6.91,146.38,0,0,8.54,0,0
 36-46,0,0,0,0,11.31,0,51.05,0,7.04,27.85,0.72,0,1.33,2.34,0.94,0,0.65,1.21,54.56,0,1.14,5.4,932.82,0.64,0,2,0,12.81,0,0,2.13,0,0,182.59,0,0,2.75,0,1.57
 48-58,0,0,0,0,31.28,0,185.79,3.99,5.55,56.56,1.37,0,0.47,4.65,0,0,1.53,0.62,70.18,2.13,0,16.06,1055.97,4.29,0.38,10.49,0,6.24,0,0,0.47,0,0,202.95,0,0,5.41,0,0
 60-70,0,0,0.91,0,20.02,0,642.38,0.65,8.97,77.39,0,0,2.95,13.13,0,0,0.67,0,60.15,0,1.65,11.95,1231.93,1.73,2.34,10.69,0,3.66,0,0,0,0,0,150.9,0,2.09,11.52,0.71,0
 72-82,0,0,0,0,13.21,0.99,450.72,0.73,14.58,63.46,0,0,2.63,11.28,1.48,0.57,1.44,3.06,90.82,1,1.04,6.52,968.69,2.55,0,4.05,0,8.15,0,0,0,0,0,76.89,0,0,4.35,0,0
 84-94,0.62,0,1.95,0,12.61,0,331.44,3.33,6.82,45.06,1.85,0,0,23.51,2.46,1.36,1.72,0.67,86.6,2.86,0,6.37,490.77,1.94,3.26,11,0,3.35,0,0,1.67,0,0,59.89,1.58,0,4.75,0.63,3.31
 96-106,0,0,2.33,0,28.97,0,339.91,17.8,12.82,47.04,1.52,0,4.19,24.25,0,6.74,1.64,16.5,67.6,0,3.93,3.19,549.89,3.74,0.81,8.65,0,0,0,0,0.69,0,0,28.66,0,0,4.45,3.19,0
108-118,0,0,0,0.74,20.03,1.27,305.62,9.42,4.03,52.59,3.01,0,0,28.68,0.85,4.13,0.52,0,91.39,2.85,8.02,7.38,607.71,3.13,2.85,4.7,0,1.65,0.42,0,0.87,0,0,23.71,1.83,0.5,7.94,3.33,3.49
120,0,0,2.94,0,20.46,2.63,211.78,1.21,2.48,139.77,2.28,0,0,35.53,0,0,0,0,35.68,0,0,16.18,681.23,5.25,0,15.79,0,3.23,0,0,1.56,0,0,40.72,0,0,12.83,0,2.59
