stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,115.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,0,0,0,22.08,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,11.56,0,13.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.34,0,0,0,7.23,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,6,0,0,0,2.86,0,0,0,0,0,0,4.2,0,0,0.93,166.92,0,0,0,0,0,0,2.55,0,0,1.15,50.81,0,0,0,0,0
 24-34,0,0,0,0,0,3.34,0,0,0,3.25,0,0,0,0,0,0,7.68,0,0,1.87,209.12,0,0.94,0,0,0,4.75,0,0,0,0,48.46,0,0,3.1,0,0
 36-46,0,0,0,0,0,25.85,0,0,0,12.87,0,0,0,0,0,0,11.72,0,0,1.88,122.33,0,0,0,0,0,0,0,0,0,0,37.8,0,0,0,0,0
 48-58,0,0,0,0,0,168.11,0,0,0,11.96,0,0,0,0,4.83,0,10.03,0,0.89,0.81,79.87,0,0,0,0,0,0,0,0,0,0,17.57,0,0,0.58,0,0
 60-70,0,0,0,5.23,0,2433.74,0,0,0.86,24.65,0,0,1.43,0,0,0,11.43,0,0,7.24,107.02,0,0,0,0,0,0,0,0,0,0,27.32,0,0,0,0,0
 72-82,0,2.83,0,42.48,0,10307.59,0,0,3.91,162.37,0.7,3.63,6.42,0.64,0.57,0,32.57,0,0,2.53,393.92,0.88,0,0,0,0,0.83,0,0,0,0,43.31,0,1.57,4.3,1.51,0
 84-94,0,0,0,18.32,16.48,8539.25,0.56,2.42,0,155.44,0.71,0,6.07,0,0,0.58,42.96,2.46,0.71,7.37,299.77,0,0,3.84,0,1.01,3.81,0,1.26,0,0,21.05,2.5,1.69,5.23,4.04,0
 96-106,0,0,0,31.87,20.16,14205.96,3.84,5.95,2.91,204.18,5.52,1.61,8.89,0.94,0,1.37,77.93,0,7.68,7.87,271.67,3.07,3.47,2.85,0,0,22.7,0,1.65,1.18,0,3.85,0,1.88,7.42,3.82,33.56
108-118,0,0.57,0,43.39,24,14665.83,0.54,4.26,4.09,136.29,5.8,0,13.78,0.59,3.39,10.17,55.83,0,6.83,4.4,384.53,7.53,1,4.82,0,2.29,4.1,0,0,0,0,10.27,2.85,0,4.05,5.04,0
120,0,0,3.17,60.85,0,7080.14,3.04,12.48,0,182.53,0,0,6.93,0,0,0,67.55,2.91,0,3.33,747.24,2.33,8.47,3.1,0,0,26.55,0,0,0,0,5.59,0,0,0,0,8.94
