stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,immune,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,visceral.smooth.muscle
  3-4,11.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.24,0.82,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,1.15,0,0,0,0
 24-34,0,0,0,1.96,0,0,0,0,1.07,1.38,0,3.98,0,0,9.24,2.88,0,1.44,0,0,0,2.77,0,0
 36-46,0,0,0,0.84,0,0,1.69,0.65,0,0,0,6.52,0,0,34.22,0,0,0,1.61,0,0,7.76,0,0
 48-58,0,0,0,0,0,0.37,8.18,3.16,2.88,8.76,0,1.58,0,0.46,28.1,5.08,5.01,0,0,0,0,8.9,0,0
 60-70,0,0,0,3.8,0,4.26,0.85,0,3.22,0.67,0,3.81,0,0,36.28,0,13.38,0,0.64,0,0,5.54,0,0
 72-82,0,0,0,2.42,0,4.24,0,0,3.77,0,0,4.84,0,0,33.66,3.66,0,0,0.56,0,0,2.26,0,3.09
 84-94,0,1.15,0,0,0,12.81,0,0.56,2.25,3.32,0,2.05,0.68,1.45,24.18,0,0,0,0,0,0,1.33,2.75,0
 96-106,0,0,0,7.54,0,12.59,1.84,0,0.69,0,1.05,5.27,0,0,28.27,0,0,0,0,0,0,5.15,0,0
108-118,0,0,2.94,3.84,0.73,52.97,0,0,3.2,0.78,0,8.72,0,0,27.75,4.54,0,0,2.12,0,0,0,6.88,0
120,0,0,0,1.06,0,0,2.94,0,8.37,5.04,11.36,1.79,0,0,50.77,0,0,0,13.79,0,2.89,5.85,4.18,0
