stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature
 14-21,0,1.27,1.02,0,0,0,0,0,0,0,0,0.83,0,0,7.54,0,0,0,0,0,2.8,1.24,0,0
 24-34,0,0.78,0,0.8,0,0.82,0,0,0,0,0,0.81,0,0,6.38,0,0,0,0,0,0,1.28,0,0.68
 36-46,0,0,0,0,0,0,0,0,14.41,0,0,0,0,0.73,3.01,0,0,0,0,0,0,1.94,0,4.08
 48-58,0,0,0,2.9,0,1.03,0,0,0.84,0,0,1.28,0,0,12.12,0,0,0.38,0,0,0,0,0,1.89
 60-70,0,0,0,10.85,0,0,0,0,0,0,0,0,3.1,0,16.86,0,0,0,0,1.11,0,0,0,0
 72-82,0,0,0,31.23,0,1.81,0,0,5.29,0,0,2.56,0.67,2.08,24.76,0,3.11,1.84,0,0,0,0,0,0
 84-94,0,0,0,9.46,0,0,0.73,0,6.72,0,0,2.82,0,0,15.43,0,0.64,0,4.73,0,0,2.09,0,0
 96-106,0,1.76,0,22.86,0,1.07,0,0,0.66,0.65,1.22,1.13,0,0,7.25,0,0,0,2.4,0.67,0,0,1.22,2.67
108-118,0,0.47,0,40.61,0.42,3.06,0,0,2.91,0,0,0.98,0,0,11.36,0.5,0.96,0,0,2.18,0,1.98,0.66,1.06
120,2.52,1.07,1.39,2.43,0,0,0,1.17,2.32,0,0,5.4,0,0,13.36,0,0,0,0,8.39,0,0,0,26.1
