stage,axial,blastomeres,epidermis,eye,glial,immune,iridophores,mesenchyme,neural,periderm,spinal.cord,vasculature,xanthophores
  5-6,0,23.5,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.71,0,0,4.62,0,0,0,0,13.93,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.18,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.24,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.13,2.79,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.67,0,0,0,0
 48-58,0,0,0,0.7,0,0,0,0,8.32,0,0,0,0.51
 60-70,0,0,0,0,0,0,0,2.22,1.02,3.64,0.88,0,0
 72-82,0,0,0,0.59,0,0,0,0,7.84,0,1.65,0,0
 84-94,0,0,0.57,0.7,0,0.79,0,0,0,0.73,0,0,0
 96-106,0,0,0,1.77,0,0,0,0,0,0,0,0.72,0
108-118,0,0,0,0,0.67,0,1.01,0,4.25,0,0,0,0
120,0,0,0,0,0,1.44,0,0,0,0,0,0,0
