stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,1086.97,23453.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.68,0,0,0,0,0,0,0,0
  5-6,2308.05,38431.88,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,841.31,37.2,0,622.73,399.71,0,0,0,0,0,0,0,0
  7-9,280.7,489.93,0,257.41,0,0,9.21,0,0,0,0,14.44,0,0,0,0,0,0,7187,1461.48,0,19961.87,44.83,157.21,0,0,0,0,0,0,0
 10-12,3.8,355.78,0,511.84,0,22.54,4.33,0,0,0,0,0,0,0,0,0,0,0,1518.31,469.65,0,14825.86,0,28.92,121.73,258.26,0,112.03,0,0,0
 14-21,0,40.06,0,0,22.13,146.49,1.21,0,0,0,1.77,0,0.93,0,0,0,5.69,30.13,204.48,308.82,0.93,1958.49,2.61,0,13478.43,0.84,16.67,2636.03,15.71,0,0
 24-34,0,0,0,0,0.6,0.83,4.91,0,15,0,0,0,0,0,0,0,10.42,2.29,38.66,60.82,0,0,0,0,4.23,6.76,1.03,1051.11,13.33,0.98,0
 36-46,0,0,0,0,0,4.22,1.04,0,10.71,0,0,0,0,0,0,0,70.56,10.4,41.85,7.63,0,0,4.45,0,0,0,0,0.7,5.28,0.9,0
 48-58,0,0,0,0,2.3,0,14.24,0,0,3.97,0,0,0,0,0.72,0,194.64,6.86,74.13,0,0,0,0,0,0,0,0,0,0.78,0,0
 60-70,0,0,0,0,0,0,19.64,0,14.96,0.79,0,0,0,0,0,0,392.06,4.09,116.62,2.3,0,0,0,0,0,0,0,0,2.74,0.58,0
 72-82,0,0,0,0,0.53,0,18.56,0,0,0.65,3.63,0,0,0,0,0,43.79,0,76.42,8.75,0,0,0,0,0,0,0,0,4.46,0,5.82
 84-94,0,0,0,0,1.02,0,19.93,0,17.5,2.04,0,0,0,0,3.19,0,49.85,0,52.26,1.11,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.86,0,0,0,33.99,0,6.65,2.15,0,0,0,0,0,0,28.07,0,60.71,1.71,0,0,0,0,0,0,0,0,3.25,0,0
108-118,0,0,0,0,0,0,19.66,1.6,5.59,0.66,0.78,0,0,0,0,8.14,38.74,1.58,73.27,5.37,1.13,0,0.47,0,0,0,0,0,4.16,0,0
120,0,0,0,0,0,0,8.14,0,0,7.72,17.05,0,0,1.48,0,0,3.37,0,44.8,3.81,0,0,0,0,0,0,0,0,0,0,0
