stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.55,1371.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.6,0,0,0,0,0,0,0,0,0,0
  5-6,37.79,816.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.8,24.68,0,11.42,0,0,0,41.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.76,19.48,0,0,112.34,0,3.29,18.9,0,0,0,0,0,0,0,0,0
 10-12,0,60.61,0,55.87,0,13.29,0,47.53,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,503.47,31.96,0,0,118.17,0,0,13.07,0,7.02,0,0,0,0,0,0,0
 14-21,0,0,1.11,0.91,0,0,0,3.26,0,0,1.13,0,0,0,0,0,0,0,0,0.87,0,0,2.8,274.37,0,1.37,36.96,0.89,0,0,0,3.44,0,0.81,93.92,0,0,0,0,0
 24-34,0,0,0,0,6.02,0,0,11.13,0,0,1.9,0,0,0,0,0,0,8.72,0,5.73,0,0,0,821.45,0,20.07,19.37,0,0,0,0,0,0,0,276.44,0,0,4.75,0,0.72
 36-46,0,0,0.73,0,2.15,0,0,24.34,0,0,17.04,0,0,0,0,0,0,0,0,2.66,0,0,11.82,1482.34,0,13.62,3.44,0,0,6.54,0.78,0,0,0,369.66,0,0,0,0,0
 48-58,0,0,0,0,3.82,0,0,169.69,0,0.47,48.69,0,0,1.23,2.59,10.63,0.39,14.19,0,11.89,0,0,0.62,1576.49,0,13.23,1.22,0,0,5.71,0,0,0,0,385.67,0,0,0,0,1.44
 60-70,0,0,1.39,0,13.6,0,0,610.21,0,0,66.48,0,0,0,0,0,0,1.19,0,26.08,0,0,0,2231.27,0,16.16,0,0,0.66,1.2,0,0,1.06,0,343.17,0,1.61,5.1,0,0
 72-82,0,0,0,0,18.21,6.98,0,758.72,4.23,0.89,77.76,0.65,0,0.5,0.49,0,0.66,0.62,0,40.96,0,1.67,2.04,1894.22,0,22.11,0.79,0,0,2.49,0,0,0.64,0,202.33,0,2.24,1.38,0.52,16.95
 84-94,0,0,0,0,6.33,11.08,0,473.56,0.66,0,84.88,0,0,0,0,0.67,0,4.29,0,38.91,2.2,0,4.34,1496.4,0,17.93,2.93,0,0,3.17,0,0,1.17,0,196.97,0,0,0.59,0.63,0
 96-106,0,0,0,0,8.79,1.48,0,626.97,0,0,87.27,0.56,0,0,1.04,0.75,0.77,9.42,0,29.1,0,0,0,1116.48,0,16.71,0,0,0,8.07,0,0,0,0,106.68,0,2.73,2.02,1.8,0
108-118,0,0,1.13,0,15.66,2.46,0.82,452,0,0,67,0,0,1.9,1.6,1.25,0,2.04,0.61,31.21,0,0,2.18,1466.46,0,20,1.25,0,0,0,0,0,1.48,0,61.23,2.67,0,0,2.12,0.74
120,0,0,0,0,41.48,1.14,0,489.31,0,0,162.54,0,0,0,1.28,6.33,0,6.83,0,24.87,0,0,7.66,2743.44,0,55.89,0,0,0,0,0,0,0,0,145.76,1.37,0,5.52,0,2.59
