stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,209.41,5868.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.26,0,0,0,0,0,0,0
  5-6,395.49,3740.02,0,0,0,0,0,0,0,0,0,0,0,143.88,0,0,27.11,68.6,0,0,0,0,0,0,0
  7-9,0,23.63,14.29,0,0,27.24,0,0,0,11.74,0,0,0,372.43,40.55,0,99.42,4.29,53.23,0,0,0,0,0,0
 10-12,0,0,3.95,0,0,11.68,0,0,0,0,0,0,0,28.99,3.92,0,16.94,6.67,16.68,0,0,0,0,0,0
 14-21,0,0,0,2.52,0,1,0,0,0,0,0,0,1.12,8.22,12.78,1.44,0,0,1.11,1.29,8.18,3.01,6.1,0,2.63
 24-34,0,0,0,0.61,0,1.41,0.71,1.02,0,0,0,0,0.74,23.96,8.95,2.08,0,31.84,0.86,0,0.76,0,4.98,0,0.98
 36-46,0,0,0,0,0,5.25,1.19,0,0,0,0,0,0,27.2,3.91,0,0,27.89,0,0,0,0,0.8,0,0
 48-58,0,0,0,0,0,4.33,0,0.79,0,0,0,0,2.69,10.68,2.14,0,0,1.01,0,0,0,0,1.77,0,0
 60-70,0,0,0,0.71,0,3.74,0,0,0,0,0,0,1.17,9.47,3.46,0,0,1.94,0,0,0,0,1.56,0,0
 72-82,0,0,0,0,0,3.96,0,1.65,0,0,0.49,0,1.18,18.09,0,0,0,0,0.56,0,0,0,6.13,1.57,4.24
 84-94,0,0,0,0,2.41,0,0,0,0,0,0,0,1.41,11.12,1.25,0,0,7.11,0,0,0,0,2,0,0
 96-106,0,0,0,1.2,0,11.81,0,0,0.67,0,0.73,0.93,0,8.98,6.11,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,2.56,0,0,0,0,7.75,1.99,1.21,0,0,0,1.54,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,37.82,1.17,0,0,0,0,0,0,0,0,0,0
