stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,168.35,6087.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.35,0,0,0,0,0,0,0,0,0,0,0
  5-6,80.95,12958.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.44,0,0,0,0,137.23,0,0,0,0,0,0,0,0,0,0,0
  7-9,79.49,178.82,51.99,0,0,0,794.45,0,0,0,0,0,172.04,0,0,0,0,0,0,0,0,0,0,0,9698.18,9.47,0,725.53,0,3.63,38.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.89,40.9,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,266.82,5.2,0,2740.44,0,0,4.37,123.04,47.79,0,139.92,0,0,0,0,0,0
 14-21,0,0,22.19,27.01,28.01,0,4.85,0,43.77,0,2.03,12.27,3.12,0,0,0,0,0,0,0,333.88,0,0,1073.09,132.13,2.11,0,36.72,0,2.35,1.33,1814.1,21.58,82.9,4295.95,71.62,0,0,1.14,0,0
 24-34,0,0,22.26,90.63,24.15,0,11.81,0,712.48,61.75,0.6,0,2.51,5.99,0,4.51,1.53,0,6.75,1.77,465.22,0.74,0,422.12,150.52,3.12,1.05,0,0,0,0,15.44,8.9,5.15,695.5,73.92,0,0,77.03,0,0
 36-46,0,0,0,14.9,0,0,2.61,2.15,679.84,91.28,5.79,1.79,0.59,4.79,0,3.92,0,0,0,0,366.52,4.94,0,311.5,130.84,0,0,0,0,0.83,0,0,4.6,0,0,25.09,0,0,18.03,0,0
 48-58,0,0,0,13.43,0,0,18.04,0,660.63,84.14,8.11,0.38,0.98,8.71,0,0,0,0,0,0,460.66,2.38,0,158.23,141.29,1.71,0,0,0,5.45,0,0,0,0,2.82,26.8,0,0,21.1,0,0.54
 60-70,0,0,0,1.62,0,0,23.69,0,864.75,26.83,1.13,4.06,0,0.66,0,0,0,0,1.18,0,411.46,0.65,1.33,36.16,67.76,0,0,0,0,2.87,0,0,0,0,0,5.88,0.61,0,7.59,0,0
 72-82,0,0,0,3.8,1.23,0,29.42,0,627.49,42.03,2.16,0,1.66,0.82,0,0,0,0,0,0,233.63,1.61,2.21,22.42,86.64,0,0,0,0,14.95,0,0,0,0,0,4.75,3.24,1.98,17.49,0,0
 84-94,0,0,0.59,15.11,4.93,0,16.55,2.21,962.55,48.36,1.31,2.77,0.66,2.33,0,1.57,0.79,2.59,2.82,0,219.09,1.18,0,33.47,112.09,0,0,0,23.63,6.74,0,0,2.41,0,0,3.63,0,0,14.02,0,0
 96-106,0,0,0,11.89,6.9,1.23,14.44,0,1253.43,30.44,1.84,3.73,0,2.11,0,0,3.3,9.95,29.65,0,215.88,1.74,7.34,4.11,168.73,0,0,0,0,9.17,0,0,0,0,0,3.75,1.5,0,3.26,0.64,0
108-118,0,0,1.05,7.34,3.17,2.14,9.65,0,1187.56,42.28,3.16,1.14,0,0.52,0,0,0,0.81,10.75,0,189.44,4.67,2.74,12.17,128.88,0,0,0,0.87,24.33,0,0,0.51,0,0,0.42,4.85,3.34,8.98,0,0
120,0,0,3.32,32.42,0,0,17.79,0,1006.85,22.58,3.18,1.35,0,2.34,2.4,0,0,0,3.28,0,103.57,0,0,3.67,127.98,0,0,0,0,11.58,0,0,0,0,0,0,0,18.9,5.44,0,0
