stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,86.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.59,0,0,0,0,0,0,0,0
  5-6,0,18.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,10.04,0,0,0,0,0,0,0,0,0,0
  7-9,17.75,0,0,15.98,0,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.23,0,0,0,160.6,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.96,0,20.6,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.49,16.06,0,0,96.1,0,0,0,0,4.51,0,0,0,0,0
 14-21,0,0,4.77,9.49,22.01,83.56,4.67,0,0,58.1,1.09,1.76,1.27,97.71,0,0,0,0,25.02,0,0,4.61,247.11,0,10.72,1.48,0,0,1.17,1.45,5.74,297.72,0,0,226.21,0,0
 24-34,0,0,7,0,25.81,7.24,42.61,1.92,0,20.58,0,25.19,0.6,21.74,2.13,0,0,0,49.45,0,0,3.49,1355.91,0,45.71,15.47,0,2.91,3.31,1.45,0,594.2,0,0,1228.45,0,6.14
 36-46,0,0,1.1,0,19.27,6.56,270.18,0,0,4.32,0,37.59,0,1.4,12.95,6.69,0,1.09,98.81,0,0,5.07,1661.11,0,25.68,4.43,0,1.94,1.12,0.72,0,577.65,0,0,747.43,0,3.36
 48-58,0,0,0,0,17.11,10.39,364.39,1.33,1.08,26.19,0,13.95,0,25.9,1.03,2.49,2.23,0.56,145.98,0,1.89,6.3,1876.81,5.45,16.2,15.02,0,3.97,2.87,0,0,417.4,0,0.77,422.95,0,4.58
 60-70,0,0,11.25,0,20.59,6.04,375.93,0,5.91,19.33,22.59,19.68,0,20.32,0.57,1.87,10.32,0,257.21,8.58,2.5,6.77,1553.42,1.36,2.27,34.44,0,4.1,3.77,2.34,0,317.73,0.81,16.22,320.33,0,0
 72-82,0,0,108.87,0,21.61,2.31,299.45,0,6.6,27.62,41.05,19.73,3.9,29.63,11.52,7.1,0,0,412.48,0,9.03,8.63,1321.93,0,18.42,28.36,0,0,7.91,1.1,0,401.84,7.53,9.27,715.47,14.69,0
 84-94,0,0,89.49,0,37.53,0.7,268.76,0,5.13,23.88,54.7,8.57,0,38.71,0,2.63,0,0,364.25,0.65,3.75,11.15,950.31,0,5.55,42.42,0,0,10.2,2.8,0,248.88,8.47,23.19,535.23,10.75,0
 96-106,0,0,75.64,2.06,45.5,27.24,312.57,0.62,10.88,31.96,51.73,28.45,0.8,32.21,0,34.16,0,0,300.5,0,7.42,11.38,889.48,0,21.92,62.16,0,3.21,14.07,3.01,0,119.03,22.4,17.47,705.39,4.89,0
108-118,0.45,0,41.39,0,29.71,9.83,258.58,3.74,1.96,34.4,32.47,23.8,4.36,28.92,5.79,13.4,3.62,0,428.22,1.84,3.52,3.65,991.01,0,11.37,61.3,0,5.45,20.48,2.63,0,83.17,31.84,20.46,705.61,18.09,0
120,0,0,82.14,0,50.94,6.81,455.57,0,2.95,57.82,77.73,30.94,0,58.09,0,6.18,0,0,467.8,0,0,5.02,1373.05,4.14,9.12,108.43,0,0,14.24,0,0,72.11,8.52,15.98,936.88,0,8.94
