stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,neural,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature,xanthophores
  3-4,9.76,173.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.33,120.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0,0,0,0
  7-9,0,0,0,3.6,0,0,0,0,0,0,0,0,0,13.85,0,13.45,0,7.58,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,10.04,0,0,0,0,0
 14-21,0,0,0,0,0,0.92,0,0,0,0,0,0,0,4.67,0.89,0,2.52,0,0,0,0
 24-34,0,0,0,0,1.08,0,0.68,0.83,0,0,0,0,0,7.86,1.44,0,1.33,0,2.19,0.66,0.86
 36-46,0,0,0,0,0,0,0.66,0,0,0.74,7.76,0,0,12.97,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,0,1.16,9.18,0,0,0.4,0,0,10.36,0,0,0,0,4.06,0,0.99
 60-70,0,0,0,0,0,0,0,1.57,0,0,0,0.84,0,2.72,0,0,2.83,0,4.03,0,0
 72-82,0,0,0,0,0,0,0,1.21,0,0,0,0,0,5.67,0,0,0.76,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.05,1.01,0,6.36,1.57,0,0,0,0,0,0,0
 96-106,0,0,1.06,0,0.65,0,0,0,0.86,0,0,0,0,3.83,0,0,2.11,0,0,0,4.23
108-118,0,0,0,0,0,0.95,0,2.65,0,0.49,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,1.88,0,0,0,2.33
