stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.75,37.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.32,0,0,0,0,0,15.84,0,0,0,0,0,0,0,0
  7-9,0,0,8.25,0,0,16.01,0,0,0,0,0,0,0,0,0,0,0,71.14,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.56,21.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.19,0,0,0,61.14,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,15.41,1.01,6.44,0,0,0.91,0.98,0,0,0,0,2.18,0,3.51,52.94,1.78,0,0.88,0,0,0,6.44,0,1.91,11.7,19.11,0,0,0
 24-34,0,0,0,2.05,0,2,0,0.63,0,0,0,0,0,0,3.68,0,0,84.21,0,0,0,0,0,0.64,1.5,1.6,0,1.3,14.41,1.53,0,0
 36-46,0,0,0,2.04,0,13.81,0,0,5.3,0,0,0,0,0,5.83,0,4.85,27.7,0,0.98,0,0,0,0.84,0,0,0,0,10.45,0,0,0.81
 48-58,0,0,0,1.96,0.48,1.9,0,8.45,2.9,0,0,0.98,0,3.25,4,0,1.02,21.93,0,1.22,1.31,0,0,4.76,0,0,0,0,5.62,0,0,0
 60-70,0,0,0,3.28,0,5.42,0,0,1.5,0,0,0,0,0,21.37,0,2.07,24.86,0,0,0,0,0,3.08,0,0,0,0,1.97,0,0,0
 72-82,0,0,0,0,7.18,13.29,0,0,8.16,0,0,0,0,0,12.1,0.49,1.79,19.56,0,1.99,1.16,0,0,6.16,0,0,0,0,0,0,0.81,0
 84-94,0,0,0,2.66,1.31,11.36,0.66,0.74,5.16,0,1.52,0,0.89,0,6.71,5.88,0,12.02,0.84,0,0,0,0,10.6,0,0,0,0,0,5.21,0,0
 96-106,0,0,0,8.29,4.04,34.64,0,0,12.14,1.27,0,0,0,0,23.1,2.08,0.64,26.9,0,0,0,0,0,9.59,0,0,0,0,6.92,0.57,0,0
108-118,0,0,0,10.3,7.83,11.73,1.32,5.17,12.08,0,0.54,0,0,0,22.34,0,2.5,10.32,0,2.06,0,0,0.76,3.76,0,0,0.43,0,1.31,0,0,0.48
120,0,0,0,3.51,1.85,0,11.27,4.8,5.29,0,6.6,0,0,0,18.41,0,2.13,7.01,5.14,0,0,0,0,6.91,0,0,0,0,0,0,0,0
