stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,17.5,44.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34,0,0,6.8,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.64,0,0,0,0,0.91,0,0.85,0
 24-34,0,0,0.59,0,0,0.78,0,0,0,0,0,0,0,0,0.73,2.87,0,0.6,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0.85,4.05,0,0,0,0,0,2.43,0.75
 48-58,0,0,0,0,0,0,0,0.41,0,0,0,0,0.49,0,0.46,1.29,0,0,0,0,0,0,1.08,0
 60-70,0,0,0,0,0,0,1.08,1.83,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0.74,0
 72-82,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,4.55,0.52,0.61,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,0,0,0,1.09,0,0
 96-106,0,0,0,0,1.01,0,0,0,0,0,0,0,4.09,0,1.08,3.62,0,0,0,7.06,0,0,1.89,0
108-118,0,0,0,0.58,0.54,0,0,0,0.66,0,0,0.78,1.81,3.07,0,3.59,1.47,0,0,0,0,0,0,2.91
120,0,0,0,3.12,0,0,0,0,0,0,3.63,0,28.7,0,0,7.15,0,5.47,0,0,0,0,0,0
