stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,63.72,848.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0
  5-6,18.14,537.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0
  7-9,3.82,5.51,0,12.1,0,0,17.09,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,129.47,3.38,0,0,28.94,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.88,0,0,0,16.76,0,0,9.77,0,0,0,0,0,0
 14-21,0,0,0,0,7.31,11.09,0,0,0,0,0,4.3,0,0,0,0,0,0,0,10.57,0,0,1.03,17.35,0,0,0,0,0,0,0,0,8.5,0,0,1.24,0
 24-34,0.88,0,0,0,3.93,0,0,0,0,0,1.4,0,0,3.09,1.04,8.35,0,0.71,0,4.52,1.39,0,0.67,47.64,0,0,0,0,0,0,0,0,6.17,0,0,0.79,1.55
 36-46,0,0,0,0,0,0,2.61,0,0,0,0,0.72,0,4.08,0,10.24,0,0,0,22.13,1.16,1.26,1.84,85.95,0,4.1,0.71,0,0,5.56,0,0,19.12,0,0,1.37,3.09
 48-58,0,0,0,0,4.54,0.65,24.83,0,0.5,0.78,0,0,0,0.42,0,2.48,0,0,0,0.54,0.5,0,0.58,127.27,0,0.74,0.88,0,0,0.78,0,0,31.1,0,0,1.01,1.81
 60-70,0,0,0,0,6.47,0,93.94,0,0,0,5.82,0.62,0,0,0,1.36,0,0,0,4.35,1.02,0,0,143.4,0,3.18,0,0,0,0,0,0,34.78,0,0,0,8.03
 72-82,0,0,0,0,2.73,0,91.99,0.5,0,0,2.09,0,0,0,0,0.61,0,0,0,0,1.48,0.54,0.78,147.61,0,0.53,0,0,1.97,0,0,0,47.75,0,0,0,6.31
 84-94,0,0,0,0,0.82,0,49.95,0,0,0,1.69,0.6,1.23,0,0,3.4,0,0,0,0,2.16,0,0,60.02,0,0.55,0.64,0,0,1.99,0,0,35.24,2.74,0,1.28,2.11
 96-106,0,0,0,0,0,0,148.79,0,0,0,15.26,0,0,0,0,1.78,0,1.33,0,2.71,0,0,0,109,0.58,4.68,0,0,0,7.28,0,0.58,12.49,0,2.88,0,10.7
108-118,0,0,1.39,0,3.16,0,187.84,0,0,0,13.84,0.73,0,0,0,5.4,0.69,0,1.48,7.27,0,0.5,0.77,141.2,0,2.5,0,0,0.91,0.49,0,0,3.88,0.84,0,0,0
120,0,0,0,0,4.21,0,546.9,0,0,0,20.8,0,0,0,0,3,0,1.74,0,11.31,0,0,0,304.67,0,0,0,0,22.09,4.78,0,0,19.4,0,0,0,0
