stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,29.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96,0,0,8.91,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,17.24,7.77,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,6.07,0,0,0,1.92,0,0,0,0,1.44,0.9,0,0,0.9,0,0,11.73,0,0
 24-34,0,0,0,61.39,0,0,0.68,0,0,0,0,0,0.76,3.21,0,0,0,0,0,93.6,0,0,13.29,15.59,1.3,0,0,0,8.27,0,2.28,0,2.38,0,0,174.73,0,0
 36-46,0,0,0,41.83,2.92,0,1.6,0,0,2.4,0,0,1.71,12.63,0,0,0,0,1.09,162.51,0,0,18.82,28.73,5.22,0,0,0,21.63,0,0,0,2.49,0,0,219.02,0,1.64
 48-58,0,0,0,92.34,0,0,5.35,0.45,13.17,7.45,0,0,2.74,34.27,0,0,0,0,0,307.04,0,1.03,23.73,39.46,1.54,0,0,0.56,11.46,0,0,0,1.92,0,0,155.86,0,5.03
 60-70,0,0,0,135.41,0,0,6.41,0,11.11,18.55,6.02,1.89,2.74,30.96,0,0,2.38,13.52,0,669.87,0,6.28,42.84,26.87,2.7,0,0,2.88,41.26,0,1,0,9.24,1.83,3.82,98.53,3.07,0
 72-82,0,0,0.75,271.74,0.75,0,82.14,0.63,11.22,31.39,7.14,17.18,7.07,59.15,3.9,0,1.15,2.82,0,1231.86,1.84,16.17,175.5,88.42,5.68,0,0,19.03,7.26,0,0,4.35,0.88,16.46,12.99,191.41,6.99,3.65
 84-94,0,0,0,455.34,0,0,79.25,1.13,33.84,9.3,1.87,47.47,4.34,96.85,4.23,0.85,0,0,0,1015.13,0,16.33,64.89,86.78,4.94,1.51,0,12.75,26.3,0,0,0,4.22,41.58,7.92,160.79,26.98,0
 96-106,0,0,0.69,644.57,4.87,0,96.7,0,49.47,18.67,22.07,164.07,22.33,140.79,10.96,2.12,1.77,5.59,0,1608.33,5.87,46.9,131.49,147.59,16.21,2.34,0,56.05,38.11,0,0.88,0,0.67,37.65,24.3,231.06,10.4,0
108-118,3.95,0,1.77,774.29,1.44,2.65,57.85,3.73,37.86,22.76,8.71,215.73,12.87,102.18,5.19,1.36,7.57,4.65,0,1924.48,3.96,32.89,169.05,137.45,11.48,5.44,0,43.32,38.09,0,1.44,0,5.72,58.05,8.77,221.52,4.52,5.15
120,0,0,3.29,477.93,0,0,57.94,0,21.25,32.93,14.49,103.75,26.16,75.34,15.59,5.52,9.75,1.12,0,1494.25,8.52,132.24,110.63,203.4,1.26,20.43,0,113.83,15.57,0,1.22,0,0,20.35,0,95.37,26.9,0
