stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,513.19,17245.61,0,0,0,0,0,0,0,0,0,0,0,1040.74,0,0,0,0,0,0
  5-6,747.94,7475.18,0,0,0,0,7.74,0,0,179.15,0,0,18.16,117.67,0,0,0,0,0,0
  7-9,3.24,7.83,3.54,0,26.24,0,21.74,0,0,294.11,18.81,0,82.66,4.33,23.73,0,0,0,0,0
 10-12,0,0,13.79,0,0,0,0,0,0,137.5,10.05,0,43.88,0,32.96,0,18.16,0,0,0
 14-21,0,0,0,5.07,0,0,0,0.81,0,1.87,0,0,0.82,3.11,0,1.04,0,0,0,0
 24-34,0,0,0.6,1.74,0,0,0,0,0.67,1.13,0,1.12,0,0,0,0,0,0.64,0.66,0.73
 48-58,0,0,0,0,6.46,0,0,1.18,0,0,0,1.49,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,50.15,2.47,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,63.97,0,0,0,0,6.89,0,0,0,0.58,0,0,0,0,0,0
 84-94,0,0,0,0,67.65,0,0,0,0,5.27,0,7.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,33.45,0,0,2.66,0,1.23,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.53,17.38,1.42,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.19,51.6,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0
