stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,718.28,15617.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.9,0,0,0,0,0,0,0,0
  5-6,250.62,5313.81,0,0,0,0,0,0,0,0,0,0,0,0,0,49.12,16.8,0,7.11,23.84,0,0,0,0,0,0,0,0
  7-9,3.24,5.96,3.37,0,0,22.3,0,0,0,8.08,0,0,0,0,0,263.86,0,0,72.42,0,39.16,0,0,0,0,0,0,0
 10-12,0,15.09,15.5,0,0,31.79,0,0,0,0,0,0,0,0,0,182.99,0,0,92.13,3.3,10.19,0,11.13,0,0,0,0,0
 14-21,0,0,1.74,24.07,0,7.62,0,5.66,0.85,0,0,0,13.21,0,6.79,138.62,3.12,4.03,1.33,0,3.03,5.25,1.93,1.03,5.03,54.05,0,0
 24-34,0,0,0,1.88,0.85,2.93,0,1.1,0,0,0,0,3.6,0.89,5.35,48.14,1.69,0,0,0,0,0,1.87,0,0,13.02,0,0
 36-46,0,0,0,3.41,0,6.87,0,4.51,0,0,0.87,0.61,7.1,0,0.59,74.35,0.64,0.61,0,0,0.81,0,0,0,0,33.6,0,0
 48-58,0,0,0,1.4,0,2.37,0,3.38,0,0,0,0,3.22,0,0.49,16.6,0,0,0,0,0,0,0,0,0,8.76,0,0
 60-70,0,0,0,0,0,1.88,0,15.89,0,0,0,0,7.38,2.09,0.96,5.77,0,0.77,0,0,0,0,0,0,0,1.55,0.8,0.89
 72-82,0,0,0,0,0,1.72,0,3.06,0,0,0,0,5.92,1.64,1.07,2.84,0.72,2.42,0,0,0,0,0,0,0,0.91,0,0
 84-94,0,0,0,3.33,0,2.06,2.75,6.39,0,0,0,0,1.99,0,2.32,3.71,1.16,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.35,0,1.12,0,3.71,0,0,0,0,4.55,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.65,0,5.88,0,0,0,0,19.07,0,0,1.61,0,0.43,0,0.43,0,0,0,0,0,1.86,0,0
120,0,0,0,0,0,2.05,0,0,0,0,0,0,10.87,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0
