stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,18.88,6.09,0,0,0,0,0,0,0,0,0,0
 14-21,2,2.8,0,0,0,1.26,0,0,0,0.98,1.75,0,0,0,0,0.83,0,0,0,7.98,0,0
 24-34,0,0,1.1,0,0,2.06,0,0,0,5.17,10.68,0,0.83,0,0,0,4.35,0,0.71,2.26,1.08,0
 36-46,1.36,0,2.85,0,0,1.69,0,0,0,4.85,9.5,0,2.97,0,6.35,0,2.36,0,0,0.81,0,0
 48-58,5.93,0,1.04,0,0,0,0,0,0,1.4,2.33,4.09,0,0.84,0,0,2.01,0,0,4.48,0,0
 60-70,0,0,6.63,2.33,6.36,1.74,0,0,0,8.17,8.76,5.57,0.89,0.63,0,0,0,0,0,0,0,0
 72-82,0,0,1.28,0,0,0,0,0,3.2,3.2,0,0,4.95,0.95,0,0,0,0,0,1.03,2.26,0
 84-94,0,0,3.56,0,0,0,3.81,0,0,8.46,3.39,0,2.8,3.59,4.27,0,0,0,0,0,0,0
 96-106,0.95,0,0,0,0,2.91,0,0.65,0,0,0,0,0.63,1.89,0.9,0,0,0,0,3.48,0,0.96
108-118,0,0,0,0,0,1.6,0,0,0,11.97,0,0,1.6,3.04,0,0,1.09,0.66,0,0.71,0,0
120,1.69,0,6.27,0,0,0,0,0,0,4.21,0,0,19.8,6.31,0,0,4.05,0,0,0,0,0
