stage,epidermis,erythrocytes,eye,glial,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,pericytes,periderm,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,2.48
 24-34,0,0,1.25,0,0,0,0,0,0.68,0,0,66.55,0,0,13.72
 36-46,0.62,0,2.21,1.4,0,9.19,0,0,0.6,0,0,193.72,0,0,35.58
 48-58,3.89,0.58,23.48,14.16,0,0,0,0,5.05,0,0,274.16,0,4.19,48.3
 60-70,0,0,37.15,3.83,0,0,0,0,11.4,0,5.81,351.21,0,0,33.16
 72-82,0,0,24.12,3.26,0,0,0,0,1.85,0,0,193.47,1.1,0,56.82
 84-94,0,0,10.04,1.65,0,0,0,0,6.48,0,0,83.98,0,0,18.63
 96-106,0,0,11.72,2.59,0,0,0,0,1.97,0,0,43.02,0,0,3.25
108-118,5.39,0,8.78,3.03,1.61,0,0,0,8.83,3.95,0,166.06,0,0,7.08
120,16.55,0,0,15.17,0,0,2.53,6.01,1.54,0,0,371.5,0,0,13.5
