stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.93,4853.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.79,0,0,0,0,0,0,0,0,0,0
  5-6,714.86,8661.77,0,8.02,0,0,0,0,0,0,0,0,54.56,0,0,0,0,0,0,0,0,0,0,0,193.15,18.98,0,0,85.35,0,174.28,0,0,0,0,0,0,0,0,0,0
  7-9,139.52,176.37,0,239.35,0,0,345.25,0,0,0,0,0,232.72,0,0,0,0,0,0,0,0,0,0,0,4694.78,236.96,0,0,1475.63,0,6.9,10.05,0,0,0,0,0,0,0,0,0
 10-12,9.78,58.61,0,153.07,0,20.36,270.15,0,0,0,0,0,54.09,0,0,0,0,0,0,0,0,0,0,0,2372.16,77.77,0,0,871.55,0,0,4.37,3.57,95.9,0,0,5.32,0,0,0,0
 14-21,0,0,1.69,3.07,33.06,9.98,14.66,0,0,0,3.39,2.93,0,0,0,0,0,0,0,0,19.07,0,0,14.16,256.77,0.87,2.46,0,7.88,0,0,0,22.32,0,0,26.63,53.37,0,0,0,0
 24-34,0,0,0,1.39,16.96,1.77,54.06,0,1.36,0,13.63,1.91,0,1.85,0.64,0,0,1.42,0.77,0,95.49,0,0,18.78,869.68,4.9,6.4,14.28,0,0,8.37,0,0.76,8.46,3.17,2.53,165.9,0,17.2,0,0
 36-46,0,0,0,0.56,36.56,1.33,119.16,0,18.38,0.95,16.9,0.58,0,0.56,0,0,0,0,19.61,0,48.06,0,0.67,7.73,842.21,1.01,2.94,11.28,0,0,6.3,0,0,3.78,0,0,124.95,0,7.48,0,1.08
 48-58,0,0,0,0,37.26,4.31,317.69,1.12,2.82,2.55,100.9,0.92,0,2.25,8.61,0.38,3,4.39,0,0,60.97,0,7.57,29.75,1013.59,1.94,0,3.98,0,0.39,11.5,0,0,0,0,0,125.21,0,12.72,0,0.6
 60-70,2.52,0,0,0,25.09,0,400.97,2.93,0.96,1.2,107.29,3.45,0,0,0,0,4.55,0,2.11,0,75.7,2.49,17.19,12.6,923.66,0.98,2.33,10.62,0,0,16.1,0,0,0.97,0,0,104.53,1.17,3.86,0,0
 72-82,0,0,2.16,0,11.71,0.9,233.13,2.9,0.5,2.32,40.07,1.27,0,0,0,0,0,1.89,4.65,0,70.18,0.56,11.66,9.4,476.52,0.53,1.5,3.51,0,0,7.64,0,0,1.58,0,0,57.58,1.23,9,1.78,1.6
 84-94,0,0,0,0,12.99,3.3,235.93,0,2.35,0,45.09,10.49,0,3.69,3.28,0.68,0.81,2.13,0.57,0,86.25,0,7.43,9.02,356.05,1.05,2.81,6.66,0,0,25.66,0,0,1.44,0,0,54.63,0,9.71,0,0
 96-106,0,0,0,0,6.89,8.02,70.92,0,0,1.62,17.15,0.62,0,1.03,0.78,1.23,0,2.1,0,0,54.91,0,2.7,11.2,184.43,0,0.59,0,0,0.83,3.75,0,0,0,0,0,21.14,2.06,2.21,0.64,1.26
108-118,0,0,0.98,0,15.68,6.21,128.21,2.37,0.88,2.28,29.81,4.52,0,0,2.69,0,5.24,2.22,0,1.77,72.68,2.06,4.18,10.29,304.89,3.86,2.36,8.76,0,0,10.59,0,0,2.47,0.5,0,8.09,0,3.25,1.68,9.09
120,0,0,2.96,0,54.6,14.25,177.03,0,4.64,2.81,172.57,10.29,0,10.06,9.53,1.07,12.84,0,0,0,217.57,0,5.84,24.86,837.77,0,0,25.77,0,3.68,21.54,0,0,0,0,0,98.28,5.78,35.37,9.59,0
