stage,axial,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,12.63,39.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.97,0,0.99,0,0,0,0,0,0,0,0,0,1.28,71.22,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,55.28,16.51,0,0,0,0,0,0,1.7,0,0.98,0
 36-46,0,0,0,0,0,2.68,0,0,0,0,0,0,0,2.52,0,0,148.73,81.02,0,0,0,0,0,0,14.25,0,0,0
 48-58,0,0,0,0,0,25.44,0,1.41,0,0,0,0.51,0,0.43,0,0,329.46,45,0,0,0.51,0,0,0,23.75,0,0,2.84
 60-70,0,0,0,2.77,0,27.89,0,1.04,0,0,0,2.08,0,5.69,0,0,602.72,63.06,0,0,0,0,7.12,0.75,33.88,0,0,0
 72-82,0,0,0,1.37,0,75.43,0,5.63,0,0,0,1.22,0,2.28,0,0,1042.38,82.54,0,0,0,0,0,0,90.21,0,0,0
 84-94,0,0,1.11,18.8,0,85.87,0,6.78,0,0,0,5.22,0,8.12,0,0,642.77,137.5,0,0,3.89,0,0,0,25.93,0,0,0
 96-106,0,0,0,5.2,0,104.2,0,16.01,0.7,0,0,7.51,0.7,6.82,0,0,758.75,246.33,0,0,0,3.82,0.63,0,14.32,1.93,0,0
108-118,0,0,0,6.74,0.81,84.95,0.58,11.2,0,0,0,10.32,0,4.04,0.5,0,767.25,162.57,0.67,0,0,0,0,0.42,14.81,0,0.55,0
120,0,0,0,2.68,0,206.73,0,62.92,0,0,2.21,0,0,31.4,0,0,1041.97,261.36,3.1,0,0,0,0,0,17.27,0,0,0
