stage,epidermis,eye,fin.epithelia,glial,heart,immune,iridophores,mesenchyme,mural.cell,neural,olfactory,otic,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.82,0
 24-34,1.97,0,0,0,0,0,0,0,0,13.3,1.13,0,0,4.02,0
 36-46,0,0.68,0,0,0,0,0,0,0,88.54,0,0,0,17.2,0
 48-58,0,14.28,0,0.66,0,0,0,0.47,0,108.49,0,7.16,0,3.21,0
 60-70,0,32.14,0,0,0,0,0,4.14,0,149.29,0,0,0,14.29,0
 72-82,0,54.13,0,1.01,1.04,0,0,1.81,0,137.97,0,0,1.9,10.79,0
 84-94,2.17,38.83,0,3.17,0,0,0,0,4.57,82.8,0,0,0,5.95,1.45
 96-106,0.79,40.26,0,2.43,0,0,0,0,0,75.03,0,0,0,0,2.1
108-118,2.91,26.25,0,3.55,0,0.61,0.82,0.59,0,62.12,0,0,0,0,0
120,0,35,1.11,6.45,0,0,0,12.89,0,147.05,0,0,0,0,0
