stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,gut,ionocyte,lateral_line,mesenchyme,mucous,neural,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,14.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.05,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.69,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.55,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0.87,0.87
 24-34,0,0,0,0,0,0,0,0,4.03,0,0.91,0,0,1.19,0,0,0,0
 36-46,0,4.9,0,0,0.82,0,0,0,0.8,1.01,1.05,0,0,3.26,0,0,0,0.89
 48-58,0,0,0,0,1,0,0,0,0,0.5,0.8,0,0,0.58,0,0,0,0
 60-70,0,0,2.13,0,0,0,0,0,0,2.77,3.19,0.63,0,0.67,1.06,0,0,0
 72-82,0,1.75,0.91,0,0,0,0,2.24,1.09,0,0,0.99,0,1.61,0,2.68,0,0
 84-94,0,1.52,1.35,0.6,0,0.64,0,1.43,0,0,1.66,0,0,11.3,0,0,0,0
 96-106,0,2.08,0,0,0,0,0,0,0,0,10.46,0.86,0,9.87,0,0,0,0
108-118,0,1.04,0,0,0,0.43,0,1.8,0,0,4.95,1.16,0,3.61,0,0,0,0
120,0,2.47,0,0,0,0,1.36,0,12.23,0,0,1.29,0,9.56,0,0,0,0
