stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,36.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,15.82,0,0,7.01,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,21.31,0,0,10.1,0,0,0,0,0,0
 14-21,0,1.71,0,0,0,0,4.72,0,0.93,0,0.87,7.04,0.89,0,0,1.84,1.56,0.91,0,0,0
 24-34,0,0.69,0,0,0,0.69,3.63,0,0,0,0,12.21,0,0,0,0,6.24,0,0.97,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,7.93,0,0,0,0,3,0,0,0,0
 48-58,0,0,0,3.25,1.3,0,6.61,0,0,2.54,0,8.96,0,0,0,0,1.47,0,0,0,0
 60-70,0,1.13,0,3.17,0,0,12.11,0,0,0,0,4.04,0,0,0,0,0.93,0,1.5,0,0
 72-82,0,0,0,1.3,0,0,9.52,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0
 84-94,0,0,0,0,0,0,29.83,4.54,1.62,0,0,0,0,4.68,0,0,2.15,0,0,0,0
 96-106,0,0.74,7.87,0,0.78,0,11.6,4.32,0.74,0,0,2.4,0,8.52,0,0,3.26,0,0,1.64,0
108-118,0,3.38,0,0,0,0.54,29.47,2.63,5.2,3.38,0,0,0,4.28,0,0,4.08,0,0,0,0.57
120,0,1.24,0,0,0,0,47.73,1.74,4.59,0,0,0,0,0,0,0,7.04,0,0,0,0
