stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,166.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.35,141,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,45.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.88,20.96,0,28.41,0,0,32.63,0,0,0,0,0,17.83,0,0,0,0,0,0,0,0,0,0,193.98,12.57,0,0,187.94,0,0,7.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.6,0,36.51,0,0,38.62,0,0,0,0,0,23.63,0,0,0,0,0,0,0,0,0,0,278.57,96.94,0,0,162.51,0,0,0,3.57,10.82,0,7.77,0,0,0,0,0,0
 14-21,0,0,2.17,0,13.61,33.51,0.81,0,0,0,8.38,1.5,6.89,1.99,0,0.89,0,0,0,13.74,0,0,5.37,127.04,7.63,2.42,0,4.02,0,0,0,5.14,0.87,1.23,1.63,55.67,0,0,29.48,0,0
 24-34,0,0,6.94,0,4.41,6.27,10.32,0,2.78,0.9,6.43,0.67,0.66,6.48,3.87,0,0,0.79,0,34.79,4.16,0,16.43,637.72,1.81,1.41,0.68,0,0,0,0,0,0,0,0.66,140.75,0,0,144.83,0,0
 36-46,0,0,0.98,0,2.22,2.43,23.32,2.14,4.14,0.72,11.58,0,0,3.16,5.28,0,0,0,0,26.7,0.77,0.87,16.03,1460.36,0,4.54,0,0,0,3.85,0,0,0,0,0,245.93,0,0,104.34,0,3.09
 48-58,0,0,0.39,0,8.05,1.8,77.51,0,0.63,4.56,30.05,0,0,10.17,10.96,6.68,0,0,0.54,56.79,0,0.37,13.88,1898.64,10.09,6.67,0,0,0,1.63,0,0,1.13,0,0,231.21,0,0,77.47,0,0
 60-70,0,0,0,0,4.18,0.67,196.41,0,0.8,5.01,37.99,5.38,0,5.95,20.47,0,0,0,0,84.58,1.01,0,5.76,2775.85,0.63,4.06,0,0,4.81,3.27,0,0,0,1.67,0,277.05,0,1,61.74,0.87,2.09
 72-82,0,0,3.12,0,15.84,1.05,321.58,0,1.61,1.36,51.8,0.94,0,12.28,5.75,1.53,3.74,0,0.49,128.66,0,12.87,7.71,2630.78,1.9,7.27,1.24,0,0,0,0,0,0,0,0,168.54,0,4.47,180,3.49,8.1
 84-94,0,0,4.38,0,12.59,0,252.42,0,0,4.58,57.27,1.78,0,7.24,35.71,0,1.68,0,0,127.75,0,3.25,7.34,1735.58,4.56,9.12,5.22,0,0.57,1.09,0,0,0,0,0,114.54,0.6,1.08,177.81,1.09,22.92
 96-106,0,0,6.05,0,10.05,1.22,227.41,0,1.25,2.77,51.18,1.73,0,9,18.91,0,6.39,0,0,85.64,1.63,4.35,2.27,1426.26,0,13.78,0.85,0,5.31,4.53,0,0,0,0,0,98.15,1.68,2.97,201.62,10.38,7.94
108-118,0,0,6.29,0,25.61,0.59,158,0,0.57,4.37,40.96,1.38,0,5.59,14.52,0,0,0,0,98.12,1.15,2.16,4.1,1800.45,0.45,9.15,5.78,0,0.92,4.38,0,0,0.44,0,0,58.32,0,2.67,208.53,2.1,0
120,0,0,2.52,0,11.8,1.89,131.59,0,4.14,0,58.06,9.09,0,10.35,33.66,0,3.86,0,0,135.5,0,3.7,1.92,1927.54,0,0,1.05,0,0,5.46,0,0,0,0,0,49.45,0,8.97,148.75,0,0
