stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23,0,0,0,0,0
 14-21,0,0,2.93,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0,0,5.24,0
 24-34,0,0,0,0,0,0,0,52.8,0,0,0,0,0,5.76,0,0,0,0.79,2.94,0,38.18,0
 36-46,0,0,0,7.27,0,0,0,128.71,0,0,0,0,0,4.94,0,0,0,0,1.63,0,18.66,0
 48-58,0,0,0,4.42,0,0,0,145.01,0,1.23,0,0,0,14.87,0,0,0,0,0,0,18.22,0
 60-70,0,0,0,4.65,0,0,0,159.9,0,0,0,0.69,0,9.11,0,0,0,0.62,0,0,11.48,0.77
 72-82,0,0,0,8.71,0,0,0,139.25,0,2.51,0,0,0,11.05,1.21,0,0,0,0,0.91,39.58,0
 84-94,0,0,0,0.66,0.77,0,0,202.48,0,0,0,0,0,0.92,0,0,0,0,0,0,29.39,0
 96-106,0,1.07,1.91,0,0,3.63,2.13,273.95,0.83,2.17,1.41,2.61,0,10.45,0,0,0,6.05,0,0,71.11,8.88
108-118,0.77,0,0,1.86,1.6,0,0,253.65,0,2.03,0,0,0,13.9,0,0.48,0,0,0,0,44.73,0
120,0,0,0,0,0,10.93,0,230.17,1.15,4.7,0,0,3.87,14.2,0,0,0,4.95,0,0,31.4,0
