stage,axial,blastomeres,endoderm,erythrocytes,eye,fin.mesenchyme,glial,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature
  3-4,16.65,46.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0
  5-6,0,124.34,0,0,0,0,0,0,0,0,0,0,27.66,0,0,0,0,0,0,0,0
  7-9,0,7.74,0,0,3.96,0,0,0,0,0,0,0,75.84,4.19,0,23.05,0,6.2,0,0,0
 10-12,0,0,13.15,0,0,0,0,0,0,0,0,0,66.63,0,0,43.43,0,0,6.88,0,0
 14-21,0,0,0,0,1.13,0,0,0,0,0,0,1.06,10.01,0,0,0,0,0,0,3.58,0
 24-34,0,0,0,0,1.28,0,0,0,0,0.77,0,0,16.84,0,0,0,0,0,0,4.04,0
 36-46,0,0,0,0,3.46,0,3.97,0,0,0,0,0.57,16.53,0,0,0,0,0,0,2.08,2.82
 48-58,0,0,0,0,5.5,0,2.89,0,0,2.18,0,0.48,18.29,0,0.43,0,0,0,0,5.37,0
 60-70,0,0,0,0,3.97,0,0,1.88,0,2.52,0,0,25.3,0,0,0,0,0,0,4.71,1.05
 72-82,0,0,0,0.88,2.59,0,0.88,0,0,3.16,0,0,6.58,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,6.07,0,0.84,1.56,0,0,0.98,1.77,4.64,0,0,0,0,0,0,0.83,0
 96-106,0,0,0,0,0,3.14,0,0,0,1.6,0,0,1.16,0,0,0,0,0,0,0,3.64
108-118,0,0,0,1,1.93,0,0,0.63,0,0.99,0,0,1.87,0,0,0,0,0,0,0,0
120,0,0,0,0,7.49,0,0,0,3.91,4.89,0,0,4.5,0,0,0,0,0,0,0,0
