stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.95,0,0,0,0,0,9.42,0,0,0,0,0,0,0,0,0,0,17.69,0,0,0,7.31,23.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.93,7.36,0,0,61.43,39.66,0,18.87,0,6.22,0,0,0,0,0
 14-21,0,0,0,3.85,3.05,0,2.32,0,0,0,4.64,1.33,0,0,5.64,0,0,0,0,1.95,2.41,0,2.81,39.36,0,0,1.92,0,1179.37,6.09,2.38,0,4.21,19.7,0,0,0,0
 24-34,0,0,0,8.87,0,0,3.03,0,3.17,0,5.05,0.63,0.73,0,21.63,0,0.65,0,0,14.8,16.15,0.82,0.96,100.9,0,9.2,6.66,0,2124.76,1.5,8.42,0.75,0.68,24.98,0,9.1,0,0
 36-46,0,0,0,27.24,0,0,5.55,0,5.38,3.07,12.31,1.3,0,0,6.74,0,0,0,9.57,7.7,6.49,0,3.9,48.21,0.78,7.63,0.87,0,2141.67,0,1.45,0,0,15.68,0,5.4,0,0
 48-58,0,0,0,23.25,0,0,20.79,1.6,19.26,2.04,9.14,0.91,0,0,2.91,0,0,0,1.73,9.42,14.65,0,0,52.86,0,6.85,1.35,0,1628.05,0,1.22,0,0,23.21,0,3.78,0,2.98
 60-70,0,0,0,48.67,0,0,32.47,0,19.9,0,1.1,0,0,0,13.32,0,0,0,1.56,11.62,7.76,0,0,41.35,0,11.84,17.85,0,1530.56,0,0.71,0,0,14.81,0,0,0,0
 72-82,0,0,0,92.13,0,0,19.93,0,18.74,0,3.8,4.31,0,1,27.23,1.65,0,1.79,0,20.45,4.7,1.94,0.55,70,0,20.57,31.42,0,937.6,0,2.8,4.35,0,5.83,0.87,0,0,8.52
 84-94,0,0,0,195.06,6.68,0,14.38,0,58.02,0,1.3,7.74,0,0,62.19,1.28,0,0,0,6.53,21.42,1.29,0.81,42.53,0,54.6,38.35,0,2824.16,0,2.84,0,0,1.77,4.63,0,0,0
 96-106,0,0,0.63,227.91,5.86,0,33.14,0,45.31,0,25.06,9.61,0,1.9,64.94,4.84,3.07,16.64,0,27.87,19.48,0.84,3.67,70.11,0,91.75,43.29,0,2339.53,0,3.4,0,0,7.07,9.58,0,2.04,0
108-118,0,0.84,0.44,255.58,3.67,0.6,55.2,0.76,84.38,0.64,14.31,21.59,0,0,79.28,0.5,0.64,0,0.91,30.21,38.12,2.61,1.41,54.92,0,46.88,73.32,0,2360.85,0,3.18,0,0,1.82,9.22,7.99,0,3.75
120,0,0,0,202.18,0,0,14.04,0,84.47,1.61,49.69,9.2,0,5.02,63.48,2.67,0,0,0,48.9,15.89,1.38,5.78,105.5,11.59,60.17,68.71,0,1511.31,0,1.58,0,0,0,9.04,0,0,0
