stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,neural,olfactory,periderm,spinal.cord,taste,vasculature,xanthophores
  3-4,22.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0
  5-6,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.31,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0
 14-21,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,0
 24-34,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,2.23,0,2.59,0
 36-46,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,3.95,0
 60-70,0,0,1.6,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,11.95,0.73,0
 72-82,0,0,23.79,0,1.96,0,1.99,0.49,5.01,3.04,0,0,0,0,0,0,11.73,1.73,1.97,0,85.68,1.95,0
 84-94,0,0,27.94,0.68,1.45,0,0,0,6.19,7.69,0,8.94,0,1.67,4.3,0,5.5,1.05,0,0,206.57,1.56,0
 96-106,0,1,51.16,0,16.44,0,0,3.25,16.99,3.47,2.15,0,0,0,2.4,0,8.9,0,1.93,0,281.57,2.83,0
108-118,0,0,68.54,2.65,4.26,0,1.29,1.82,4.95,3.71,2.58,0,0.63,1.1,0,1.61,9.94,0,1.73,0,186.64,6.93,0.51
120,0,0,61.24,0,2.21,2.34,1.08,0,10.73,3.39,0,0,0,2.32,3.64,0,21.3,6.01,1.68,0,67.57,5.18,0
