stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,25.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,80.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0
  7-9,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0,0
 14-21,0,0,0,9.05,0,0,0,0,0,0,0,0,0,0,0.86,0,4.56,0,0,3.66,59.9,0,0
 24-34,0,0,0,2.87,0,0,1.24,0,0,0,0,0,0,0,0.81,3.06,15.79,0,0,7.93,419.32,5.08,0
 36-46,0,0,0,0,0,0,0.6,0,0.78,0,0,0,0,7.64,0.94,0,13.35,0,0,15.15,217.55,3.17,0
 48-58,0,0,0,3.87,0,0,1.24,0,0,0,0,0,0,0,1.27,0.69,4.94,0.38,0,0,117.23,3.15,0
 60-70,0,0,0,0,0,0,3.37,0,0,0,0,2.33,0,0,0.64,0,8.67,0,0,0.97,140.58,0,0
 72-82,0,0,1.68,0,0,0,1.38,0,0,1.45,0,1.65,2.6,2.3,1.55,0,18.82,0,0,0,142.04,0,0.73
 84-94,0,0,0,0,0,0,1.47,0,0,5.29,0,0,0,1.39,0,0,1.68,0,0,0.59,142.71,0,0
 96-106,0,0.91,1.03,1.11,0.99,3.47,5.65,0,0,9.34,0,0,0,2.88,0,0,7.11,0,0,0.67,146.42,0,1.38
108-118,0,0,1.11,0,0,0,3.8,0.43,0,12.3,3.71,0,0,20.44,2.03,0.86,8.91,0,0,0,129.9,0,0
120,0,0,1.66,1.21,0,0,0,5.79,0,12.97,1.52,0,0,12.29,0,0,2.94,0,0,0,51.6,0,0
