stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,ionocyte,mesenchyme,mural.cell,neural,olfactory,periderm,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,11.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.85,0,0,0,0,0,0,8.41,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,5.97,0,2.18,5.52,0,0,0
 24-34,0,0.7,0,0,0,2.25,0,0,0,0,0,0,66.46,5.14,0,24.04,0,0,0
 36-46,0,0,0,0,0,3.57,0,0,0,0,0,0,136.7,12.2,0,28.17,0,0,0
 48-58,0,0,0.41,0,0,11.35,0,1.2,0,0,0.41,0,290.18,1.91,0,23.7,0,0,0
 60-70,0,0,0,0,0,114.29,0,0,0,0,0,0,356.58,5.21,0,51.36,0,0,4.49
 72-82,0,0,4.7,0,0,196.89,0,6.69,0,0,2.75,0,375.17,16.89,0,32.3,0,0,0
 84-94,0,0,0,0,0,191.4,0,3.31,0,1.15,6.69,4.57,241.65,0.89,0,40.42,2,0,0
 96-106,0,0,0,7.47,0,234.11,0,8.82,0.57,0,0.96,0,192.37,14.83,0,15.78,0.61,0.64,0
108-118,0,0,12.25,1.56,4.57,250.6,0.46,9.71,0,1.1,0,0,184.42,7.49,0,4.59,0,0,0
120,0,0,0,0,0,115.03,0,6.78,0,0,0,0,440.88,9.84,0,7.6,0,0,0
