stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.6,578.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.94,0,0,0,0,0,0,0,0,0,0
  5-6,41.79,630.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,6.94,0,0,0,0,0,0,0,0,0,0
  7-9,4.36,0,0,8.75,0,0,0,10.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.09,4.19,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,0,0,0,23.3,0,12.25,0,0,0,0,3.11,0,0,0,0,0
 14-21,0,0,0,0,1.8,0.85,0,1.05,0,0,0,0,0,1.76,0,0,1.38,0,0,0,0,0,0,0,2.4,5.85,8.28,0,0,0,0,15.67,0,6.92,2.04,15.88,49.27,0.83,0,4.33,0,0
 24-34,0,0,1.64,0.83,4.96,0.68,0,7.55,2.18,0.81,0,0,0,0,0,0.64,0.7,0,0,0,0,1.54,0.66,0,7.32,22.78,0.65,1.54,6.42,0,0,75.3,0,0,1.33,8.19,21.93,3.5,0,4.58,0,0
 36-46,0,0,0.98,0,4.74,0,0,4.79,40.9,0.58,0,0.75,0,0.59,0,0,0.78,0,0.75,0,1.42,2.01,0,0,7.18,39.84,0,7.22,2.92,0,0,100.43,0.81,0,10.55,29.26,1.82,9.32,0,1.64,0,0
 48-58,0,0,0.86,0,2.17,0,0,16.16,15.96,1.36,0,9.23,0,0,0.55,0.48,0.49,0,1.69,1.77,2.21,4.08,5.66,0,6.86,43.59,0.44,2.12,12.08,0,0,32.21,0,0,0,21.07,0,11.39,0,0.41,0,0
 60-70,0,0,0,0,0.69,0,0,38.47,23.22,3.47,0,15.6,0.81,2.64,0,0.6,0.67,0,4.47,0,0,6.3,1.09,0,6.07,65.82,0,1.96,19.18,0,2.69,17.24,0,0,1.95,15.94,0,11.24,2.43,0.58,0,4.49
 72-82,0,0,0.54,0,5.68,0,3.21,29.27,11.65,0.99,3.89,72.9,1.16,0,0,1.97,1.36,0,2.4,0,0,20.17,4.09,0,6.11,43.86,0,2.65,26.45,0,0,16.8,0,0,2.14,5.67,0,7.1,3.29,3.35,0.54,10.71
 84-94,0,0,0,0,3.62,0.63,2.77,35.93,16.59,4.81,0.87,33.47,2.24,0,0,3.92,3.58,0,6.39,3.89,0,15.53,5.32,0,4.29,27.88,0,3.54,47.14,0,0,21.04,0,0,1.96,17.35,0,30.69,3.32,0.63,0.98,8.19
 96-106,0,0,2.36,0,15.94,6.87,4.59,41.89,16.08,3.38,0,61.34,7.3,0,0,5.61,3.65,0,11.88,5.28,7.92,20.28,1.66,3.99,15.77,46.82,0,18.33,35.77,0,0,29.08,0,0,2.79,12.94,0,9.57,1.59,5.38,0.81,1.22
108-118,0,0,2.66,0,12.44,1.9,14.34,50.75,15.46,13.18,0,72.75,5.39,0,0,3.56,3.12,1.67,5.08,3.16,0,20.67,0,0,13.25,37.14,1.51,11.94,36.92,0,3.53,34.53,0,0,2.71,10.49,0,1.39,0.43,2.05,0,3.93
120,0,0,3.29,0,20.31,1.01,5.37,34.33,23.78,4.91,0,71.6,6.63,0,0,3.48,5.59,0,1.54,3.38,0,38.35,1.72,0,8.97,62.79,0,42.59,58.58,0,0,26.24,0,1.12,0,3.65,0,4.76,0,2.75,0,0
