stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,90.99,2839.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.09,0,0,0,0,0,0,0,0,0,0,0
  5-6,368.67,8089.09,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,148.6,0,0,0,92.18,0,66.88,0,0,0,0,0,0,0,0,0,0,0
  7-9,212.18,553.86,0,500.41,0,5.95,2599.45,0,0,0,0,0,460.86,0,0,0,0,0,0,0,0,0,0,14780.45,497.12,0,0,4570.7,0,19.98,58.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,610.13,0,635.58,0,51.84,1684.56,0,0,0,0,0,175.85,0,0,0,0,0,0,0,0,0,3.87,11764.44,222.04,0,0,3963.74,0,11.17,52.18,8.12,515.37,0,23.21,11.2,0,0,0,0,0
 14-21,0,3.52,2.04,25.08,261.49,139.7,385.62,0,0,0,41.82,15.02,12.35,0,0,0.81,0,0.84,0,0.85,163.07,0,131.59,3162.06,26.14,3.44,47.01,97.03,0,0,2.79,335.93,14.83,1.74,269.23,913.38,0,0,6.81,0,0
 24-34,1.76,0,1.23,8.2,50.78,11.47,322.45,0,0.86,1.99,55.17,6.45,4.65,5.99,0,1.53,0,9.32,13.95,0,189.16,1.51,68.94,3731.78,4,55.03,25.21,1,0.99,0.67,0,1.1,2.42,0,27.9,681.38,0,0,52.56,0,0.81
 36-46,0,0,0,0,15.62,6.91,522.41,0,2.24,5.69,90.04,1.85,0,0.99,0.56,8.84,0,0.61,13.51,2.18,152.86,1.48,28.13,4130.6,4.5,23.18,11.24,0,0,5.43,0,0,0.75,0,0,691.83,0,0,34.42,0,1.02
 48-58,0,0,0,0,24.66,0.42,1173.24,0,3.88,5.91,175.91,0.56,0,5.15,0,0,3.29,8.21,4.86,8.31,136.52,18.73,44.85,4035.87,0,23.26,10.34,0,1.6,9,0,0,0,0,0,655.94,0,0,42.61,0,7.49
 60-70,0,0,0,0,33.53,6.28,2120.39,1.34,8.07,5.23,170.2,0,0,0,0,1.02,0,1.16,0,0,139.02,20.27,18.85,3833.91,0,10.88,12.29,0,0,14.26,0,1.38,0.73,8.52,0,447.51,3.36,2.19,37.58,1.46,9.88
 72-82,0,0,0.64,0,13.02,13.6,1436.44,0.55,1.95,10.72,137.08,1.05,0,1.13,2.09,0,3.05,1.13,0,0,100.87,2.18,20.64,3423.71,0,26.26,7.96,0,1.03,0,0,0,0,0,0,333.45,0.5,1.33,41.49,2.08,17.42
 84-94,0,0,2.38,1,20.95,6.67,1007.62,0.68,0,8.5,77.86,0.71,0,0.82,1,2.54,2.32,0.8,2.49,0,103.16,7.86,19.23,2029.55,1.02,24.9,18.43,0,2.67,10.99,0,0,2.39,5.42,0,165.04,8.85,0,33.85,2.84,1.5
 96-106,2.68,0,0,0,15.42,5.97,596.63,0,0,2.05,54.85,3.48,0,0.73,2.18,0.76,2.23,1.79,4.83,0,61.09,1.11,8.34,1409.98,0,19.76,11.48,0,0,7.39,0,0,0.7,0,0,56.38,8.18,6.35,30.54,2.73,0
108-118,0,0,0,0,34.01,9.03,645.38,0,0.69,7.41,60.91,0.95,0,0,2.57,4.94,2.67,4.76,1.27,0,63.12,3.71,34.81,1913.66,0,24.04,12.23,0,0,1.08,0,0,0,0,0,61.22,11.16,3.86,31.93,1.27,0
120,0,0,8.41,0,9.25,12.12,674.62,0,6.38,4.61,166.66,1.12,5.2,6,3.59,0,0,0,8.9,0,125.33,5.41,31.71,4181.95,10.93,15.28,11.1,0,0,3.08,0,0,0,0,0,103.54,18.09,0,61.83,0,0
