stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.51,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0
  7-9,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,9.07,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.83,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2,0,0,11.32,1.38,0,2.14,2.77,0,0,0,0,0,1.03,0,0
 36-46,0,0,0,0,0.6,0,0,2.93,0,0,21.82,0.76,0,0,5.01,0,0,0,0,0.85,3.23,0,0
 48-58,0,0,0,0,0,0.6,0,9.94,0.39,1.34,29.83,0.57,0.94,0,0.51,0,0,0,0,0,0.98,0,0
 60-70,0,0,0,0,0,0,0,2.07,1.92,0,7.3,0,0,0,3.03,0,0,0,0,0.8,0,0,0
 72-82,0,0,0,0,4.59,0.9,0.74,4.08,26.93,0,0,0,0.88,0.97,1.71,1.23,4.05,0,0.91,0,0,0.71,0
 84-94,0,0,0,0,4.22,0,4.45,0,11.35,0,6.59,1.54,0,0,7.42,0,0.79,0,0,1.03,2.6,0,0
 96-106,0,0,0,0.6,0.72,6.62,0,2.28,44.07,1.12,8.6,7.48,0,0,10.87,0,1.44,0,0,0,1.86,0.68,0
108-118,0,0,0,0,0,0,1.26,0,38.54,0,19.2,0,0,0,1.03,0,0,0,0,0,0.49,0,0.96
120,0,0,0,0,0,2.35,0,0,24.09,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0
