stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.32,5.46,0,0,0,0,0
 14-21,0,0,2.78,0.89,0,0,0,0,0,0,0,0,0,0,0,5.98,0,0,0,0,0,0,3.72,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,4.19,0,0.71,5.64,0,0.59,0,0,0.74,0
 36-46,0,0,0,0,0.73,0,0,0,0,0,0.75,0,0,0,0,0.89,0,0,5.78,0,0,0,0,0,0
 48-58,0,0,0,0,1.67,1.05,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,12.55,4.27,0.67,0,0,0,0.85,0,0,8.73,0,0,0,6.4,3.38,0,0,0,0,0,0
 72-82,0,0,1.12,0,3.27,2.27,0,2.75,0.81,0,1.13,0,0,0,0,3.26,0,0,16.61,0,0,0,0,0,0
 84-94,0,0,0.58,0,1.77,4.28,0.71,5.03,0.63,0,5.43,0,8.94,0,1.13,2.68,0,6.52,10.65,0,0,0.74,0,0,0
 96-106,0,26.42,0,0.82,10.65,10.45,0,1.85,8.98,0,1.02,1.22,0,0.76,0,7.73,0,2.67,11.06,0,0,6.99,0,0,0
108-118,0,19.52,5.11,0,8.46,6.55,1.08,0,31.19,0,7.28,0,0,0,0,9.18,0.49,2.91,7.2,0,0,1.68,0,0,0.44
120,0,38.77,0,1.08,4.94,16.08,0,0,41.17,0,9.08,0,0,6.54,0,6.44,0,6.59,27.04,0,0,0,0,1.56,0
