stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,mesenchyme,neural,olfactory,otic,periderm,vasculature
  3-4,0,82.53,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,63.98,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.37,0,0,17.15,0,0,0,0,9.76,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,15.84,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0
 24-34,0,0,0.91,0,0.75,0,0,0,0.92,1.29,0,1.21,0.79,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61
 48-58,0,0,0,0,0,2.6,0,0,0,0.52,0,0,0,0
 60-70,0,0,0,0.57,0,0,0,0,0,0,1.19,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.93,0,0,0,0,7.19
 96-106,0,0,0,2.27,0,0,0,0.59,0,0,0,0,0,0
108-118,0,0,0,0,2.39,0,1.03,0.49,0,0,0,0,0,0
120,0,0,0,0,0,0,0,6.22,0,11.7,0,0,0,0
