stage,blastomeres,endoderm,epidermis,eye,glial,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord
  3-4,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.3,3.96,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,18.2,0,0,11.47,0,0
 14-21,0,0,0,0,0,5.41,0,0,0.94,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,4.16,5.65,0,1.56,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,11.66,0,0,0,0,0
 48-58,0,0,0,6.37,0,0,0,0,13.08,0,0,0,0,0
 60-70,0,0,0,18.44,0,0,0,0,4.6,0,0,0,0,1.69
 72-82,0,0,0,10.38,0,0.57,0,0,21.65,0,0,0,0,0
 84-94,0,0,0.92,11.44,0,6.1,0,0,7.63,0,0,0,0.94,0
 96-106,0,0,0,17.22,0,5.32,0.61,0,13.43,0,0,0,0,0
108-118,0,0.74,0,5.25,0.48,1.54,0,0,8.18,0,0.88,0,0,0
120,0,0,0,0,0,2.4,0,0,20.46,0,0,0,0,0
