stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.78,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.3,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,14.53,0,0,0,0,0,0,0,0
 14-21,0,1.24,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.68,0,0,0,0,0,0,0,0,0,39.09,0,0,0,0,0
 24-34,0,0.97,3.75,0,0,4.84,0,0,0,0.94,0,0.81,0,0,0,0,0,0,0,1.64,0,0,0.67,894.97,0,19.31,0,0,0,0,0,0,1.45,322.42,0,0,0.93,0,0
 36-46,0,0,1.64,0,0,46.31,0,0,2,2.54,0,0,0,0,0,0,0,0,0,5.39,0,0,0.66,2250.44,0,24.84,0,0,0,3.97,1.4,0,0,589.19,0,0,0,0,0
 48-58,0,0.54,21.82,0,0,402.03,0,0,0.43,32.17,0,0,0.93,0,0,0,1.93,0,0,13.41,0,0,0.97,4147.61,0.46,18.31,1.84,0,0,14.4,0.44,0.55,0,720.57,0,0,1.94,0,13.04
 60-70,0,2.27,13.52,0.69,0,1699.77,1.33,0,1.58,58.64,0,0,0,0,7.1,0,0,0,7.12,30.33,0,7.09,2.18,6185.52,0,14.9,4.49,0,0,4.89,0,1.01,0,790.94,0,1.42,8.84,0.89,0
 72-82,0,2.4,16.84,10.63,0,2342.77,0,0,1.51,115.38,2.92,0,0,6.28,0,2.28,1.39,0,0.49,70.08,3.16,6.78,2.59,7473.83,1.09,31.65,0.51,0,0,2.47,1.73,0,0,530.28,2.48,0,12.85,0,14.97
 84-94,0,0.63,29.24,4.38,0,1702.29,0,0,0.59,110.05,1.68,0,0,1.27,1.04,5.21,0.69,2.93,0,39.04,0,15.43,4.41,5105.03,0.65,18.97,7.38,0,0,18.2,1.27,0,0,362.61,0,0,4.08,4.48,1.02
 96-106,0,3.4,32.94,17.64,1.96,1661.32,1.35,0,0.64,122.38,3.95,0,0,1.66,0.9,1.83,1.97,14.78,1.3,62.53,5.77,1.02,5.84,5096.64,1.87,20.18,1.09,0,0,9.37,2.32,1.71,0,243.79,4.97,0,8.51,1.53,2.54
108-118,0,1.98,21.81,13.09,1.27,1650.19,1.3,3.69,0.66,116.35,3.55,0,1.02,3.31,0,0.82,0,3.89,0.52,36.18,0.98,2.34,1.55,4513.95,0,22.52,0,0,0,8.78,0.94,0,0,182.07,4.98,0.8,3.2,0,0
120,0,0,48.93,5.68,0,1583.84,9.8,1.33,6.64,290.3,0,0,8.94,9.71,0,0,0,1.05,10.94,74.73,0,16.16,5.59,9330.64,4.9,43.89,3.1,0,2.76,2.89,0,0,0,300.34,0,0,0,0,0
