stage,epidermis,eye,glial,heart,mesenchyme,neural,otic,spinal.cord
 14-21,0,0,1.01,0,0,2.18,0,6.6
 24-34,0,0,2.41,0,0,0,0.74,10.77
 36-46,0,0,0,0,0,1.96,0,1.22
 48-58,1.23,0,0,0.66,1.44,0,0,0.47
 60-70,0,0.96,1.09,0,0,0,0,2.02
 72-82,0,0,3.74,2.11,1.06,0,0,5.91
 84-94,0,0,0,0,0,0,0,2.02
 96-106,0,0,0,0,4.33,0,0,3.11
108-118,0,0,3.6,0,3.26,0,0,0.71
120,0,0,0,0,0,0,0,2.78
