stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,127.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.34,88.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.12,4.1,0,0,4.72,0,0,8.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.25,0,0,0,28.72,0,0,0,0,8.84,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,1.1,17.13,2.15,0,29.48,0,1,0,10.18,0,0,0,0,0,0,0,12.85,0,0,11.27,440.46,0,0,2.01,1.3,0,2.36,0,3.04,0.91,0.87,24.02,135.07,0,0,0,0,0
 24-34,0,0.83,0,0,14.24,0,0,101.34,0,0,3.55,33.65,2.07,0,0,0.72,0,3.44,0,57.01,0,0,34.35,1826.78,0,13.03,6.59,1,0,1.24,0,0,3.28,1.76,17.12,442.7,0,0,1.54,0,0
 36-46,0,0,0,0,10.05,0,0,128.14,0,0,4.98,85.03,0.95,0,4.65,0,0,2.58,0,72.07,0,0,29.47,1984.18,0,12.75,10.74,0,0,2.34,0,0,0,1.76,0,453.88,0,0,0,0,0
 48-58,0,0,0,0,4.95,0,0,219.56,0.6,0,12,127.53,2.84,0,0,0,4.8,5.02,5.56,160.92,0,1.7,27.64,2107.4,0,7.3,18.9,0,0,1.57,0,0,0.52,0,0,441.39,0,1.91,1.85,0,4.4
 60-70,0,0,0,0,11.61,2.08,0,379.56,0,1.4,6.48,152.73,4.03,0,0,5.75,1.28,0.91,1.92,192.36,4.53,2.18,26,2117.72,0,0,22.32,0,0,0,0,0,0.68,0,0,351.77,0,2.32,1.81,0,0
 72-82,0,0,0,0,7.85,0,0,292.56,0.59,0.7,2.55,120.62,0.99,0,0,0,0,10.53,1.36,271.71,0,1.14,14.39,1589.11,0.73,1.99,2.85,0,1.77,3.66,0,0,2.57,0.64,0,179.46,1.01,0.52,2.23,0,0
 84-94,0,0,0,0,2.71,0,0,308.63,0,2.91,6.12,129.23,0.93,0,1.07,0,4.06,7.2,0,196.55,0,0.72,17.16,1034.35,0.94,13.82,12.62,0,0,3.89,0,0,0,0,0,174.2,0,3.27,0,3.81,0
 96-106,0,0,0,0,5.17,4.35,0,124.51,0,0.62,1.28,75,4.11,0,0,0,0,7.36,6.09,155.42,3.31,0,16.05,821.94,0,4.66,5.35,0,0,2.88,0,0,0,0,0,27.72,0,1.93,5.2,9.15,0.8
108-118,0,0,0,0,9.67,1.44,2.36,189.38,1.3,0.7,0,105.08,0.47,0.92,2.8,0,0.7,9.09,0,209.88,0,4.08,15.1,774.63,0,11.73,11,0,0,0.59,0,0,0,0.68,0,30.8,1.35,0,0.55,2.28,0
120,0,0,0,0,54.84,1.9,0,285.77,0,0,6.09,237.88,0,0,1.06,0,0,36.07,0,269.62,0,0,24.97,1798.57,0,4.66,36.38,0,0,0,0,0,0,0,0,121.95,0,0,9.48,3.44,0
