stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.72,239.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.82,148.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,11.14,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.57,0,0,0,26.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.03,0,0,0,31.17,4.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.87,11.9,0,0,31.68,0,13.98,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.93,10.24,1.24,3.66,0,0,0,2.9,0,0,0,0,1.64,0,1.14,0,0,0,0,0,36.01,6.57,0,0,0,20.58,0,0.82,0,5.64,8.64,0,0,0,0,0
 24-34,0,0,0.7,0.7,0,4.47,0,0,0,0.87,2.23,0,0,0,10.2,0,2.68,0,0,3.39,0.61,0,22.25,0,2.63,2.03,0,96.75,0,29.86,0,3.14,8.55,0,0,3.43,0,0
 36-46,0,0,1.41,1.24,0,3.18,0,1.92,0,1.25,0,0,1.77,0,7.02,0,0,0,0,1.29,8.67,0,20.33,0,4.81,0.57,0,170.73,0,9.92,0,0,6.52,0,0,5.92,0,0
 48-58,0,0,0,1.14,0,0.5,2.47,2.66,0,2.43,0,0.39,0,0,2.65,0.46,0,0,1.74,4.01,0.52,1.35,39.89,0,1.46,3.41,0,58.58,0,4.32,0,0,4.68,0,0,0.82,0,0
 60-70,0,0,0,6.98,0,11.86,0,0.59,0,2.23,0,0.89,0,4.75,6.12,0,1.32,0,0,9.14,7.11,0.82,39.87,0,1.99,4.74,0,142.63,0,5.35,0.67,0,0.84,0,0,0,0,3.17
 72-82,0,0,0,6.5,0,65.11,0.82,2.5,0.51,9.75,2.3,0,0,0.57,5.12,2.71,6.95,0,0,12.38,4.41,1.37,33.95,0,2.39,9.81,0,46.24,0,9.65,0,0,0,2.63,0.87,3.38,0.93,0
 84-94,0,0,0,9.14,4.69,41.68,0,3.54,0,4.04,8.01,1.23,0,0,5.19,0,3.51,0,0,11.94,5.64,0,27.11,0,1.7,6.83,0,185.09,0,25.14,0.66,0,4.76,2.96,0,0.85,0,0
 96-106,0,0,0,10.28,0,118.03,3.08,1.82,0.76,8.93,13.74,1.32,0,0,6.33,0,2.8,0,0,27.03,10.28,0,32.36,0,1.4,4.89,0,150.28,0,11.19,0,0,1.84,5.31,0,0.74,0,0
108-118,0,0,0,23.67,0,150.58,3.8,0,0,12.49,10.71,0,0,0.77,13.55,0,5.19,4.41,0,36.55,15.04,0,47.15,0,0.51,5.67,0,111.35,0,14.64,0,0,1.84,2.4,0,0,0,0
120,0,0,0,35.75,0,100.35,2.51,3.08,0,8.24,27.44,0,0,1.23,12.77,0,3.58,0,0,6.88,4.89,0,68.94,0,0,15.61,0,81.35,0,20.39,0,0,4.72,3.57,12.72,3.75,0,0
