stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,taste
  3-4,24.72,387.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.45,0,0,0,0
  5-6,15.72,332.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.25,0,0,0,77.67,0,0,0,0
  7-9,0,0,0,3.31,0,0,0,6.73,0,0,0,18.44,0,0,0,0,0,0,21.38,0,0,3.67,17.22,12.47,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,23.21,0,0,0,0,0,0,28.05,0,0,8.57,0,0,0,0,0
 14-21,0.89,0,0,1.44,17.19,1.9,0,0,0,0,0,8.43,0.82,0,0,0,0,0,5.62,0,0,0,32.31,0,0,1.07,0
 24-34,0,0,0,0,6.63,0,0,0,0,0,0,0,0,0,0.74,2.2,0.91,2.05,1.3,1,0,0,23.56,0,0,0,0
 36-46,0,0,0,0,1.45,0,0,0,0,0,0.56,0,0,0,0,0,0,0.65,0,0,0,0,31.73,0,0,0,0
 48-58,0,0,0,0,0.64,0,0,0,0,2.57,0,0,0,0,0,0,0.46,2.51,2.22,1.08,1.13,0,17.89,0,0,0,0
 60-70,0,0,0,0,3.64,0,0,2.93,0,4.57,0,0,0,0,0,0,0,0.65,0,2.38,0,0,24.59,0,0,0,0
 72-82,0,0,0,0,1.33,0,0,3.4,0,0,1.97,0.55,0,0,0.63,0,1.09,0,0,0,2.03,0,15.75,0,0,0,0
 84-94,0,0,0,0,0.59,0,0,0,0,0.57,0.68,0,0.74,0,0.81,0,0,3.46,0,1.76,0,0,41.22,0,0.73,0,0
 96-106,0,0,0,0,2.73,0,0.94,0,0,0.86,0.81,0,0,0,0,0,0,1.09,0,0.68,0.79,0,6.86,0,0,0,0
108-118,0,0,0.85,0,7.81,1.37,0,0,0,0.51,4.09,0,0,0,1.84,0,0.42,0.91,2.75,0.87,0,0,11.22,0,0,0,0.84
120,0,0,0,0,2.39,0,0,0,10.57,2.32,10.73,0,1.63,2.22,0,0,19.02,0,0,0,0,0,15.69,0,0,0,1.84
