stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.53,156.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0,0
  5-6,9.85,392.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0
  7-9,3.88,32.18,90.39,0,0,0,225.22,0,0,0,0,0,22.97,0,0,0,0,0,0,0,0,0,0,0,1292.89,42.29,0,0,616.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,53.99,101.22,0,0,0,155.53,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,1352.13,10.5,0,0,952.39,0,0,15.77,8.37,68.15,0,18.26,0,0,0,0,0
 14-21,0,0,10.64,258.11,63.34,0,105.48,0,0,0,33.46,10.75,0,7.62,0,0,0,0,3.37,6.98,121.82,0,0,201.59,1996.87,5.66,1.81,22.06,34.35,0,2.95,0.9,809.84,2.14,77.26,2000.43,626.46,0,42.63,0,0.96
 24-34,0,0,2.69,114.36,9.29,0,163.8,0.96,9.58,15.37,60.74,0.82,0,9.93,0,1.4,3.1,1.31,1.38,4.82,376.09,1.69,0,230.45,3773.06,0.76,0,36.22,0,0,10.78,0,5.26,1.18,9.52,283.03,819.9,0,134.65,0,0.6
 36-46,0,0,0,47.48,1.02,0,153.79,1.77,21.13,32.4,171.56,0,0,1.89,0,0,3.81,5.79,7.26,5.56,463.53,0,7.62,155.91,2257.69,0,1.28,13.87,0,1.69,12.31,0,0,0,0.58,0.83,538.53,0,51.95,0,7.47
 48-58,0.58,0,0,47.73,0,0,185.54,0.67,34,33.59,205.69,0,0,3.98,0.45,0.4,3.3,0,3.6,0,656.82,2.22,11.78,138.51,950.74,0,0,18.77,0,0.46,13.08,0,0,0,3.73,0,239.19,0,24.3,0,2.73
 60-70,0.81,0,0,66.36,0,0,132.5,0,27.98,46.77,152.34,0,0,1.76,0,1.1,0,1.03,0,0,721.48,0,17.74,72.71,575.8,0.98,10.98,26.86,0,6.47,7.77,0,0,0,0,0,69.92,10.55,26.76,5.25,1.44
 72-82,0,0,0,44.6,0,3.14,122.28,2.19,21.79,89.17,167.72,1.23,0,18.28,0,1.54,0,0.95,0,0,1113.44,0.52,58.7,113.28,333.7,0.73,0,34.46,0,15.48,0,0,0,0,0,0,13.51,20.95,23.82,19.24,7.01
 84-94,0.62,0,0,53.08,1.63,0,130.39,3.27,10.93,61.83,134.7,1.3,0,4.68,0.7,6.01,2.04,1.91,0,12.41,847.25,0,18.99,85.48,229.81,0,9.48,17.34,0,9.04,3.9,0,0,0,0,0,9.01,21.15,30.15,24.71,2.69
 96-106,0,0,0,55.22,0,1.46,79.32,1.69,23.09,80.52,145.26,0,0,4.12,2.11,0,3.18,3.37,0,0.63,889.66,2.99,33.28,74.48,221.21,1.43,5.46,49.07,0,26.1,0.71,0,0,1.1,0,0,14.27,21.49,16.57,14.39,0
108-118,0,0,0,71.13,0,1.98,125.04,15.65,30.56,41.65,190.35,0.49,0,7.07,0.97,7.11,2.06,2.24,3.52,3.18,959.89,0.77,37.81,73.58,351.99,0,3.59,57.85,0,24.19,7.86,0,0,0,0,0,4.08,9.29,24.46,29.75,0.51
120,0,0,0,61.58,0,1.79,64.6,0,20.97,16.94,200.7,2.45,0,20.63,0,0,0,0,0,0,1001.19,3.26,47.22,65.51,340.92,7.35,1.45,73.23,0,50.67,0,0,0,0,1.22,0,8.44,25.69,7.53,55.85,7.48
